# Trajectories Requiring Chassis Movement
# Total: 519


## scene_2 (3 trajectories)
round_traj_10 (X: 2.675m, Score: 2.675m)
round_traj_5 (X: 2.306m, Score: 2.307m)
round_traj_4 (X: 2.035m, Score: 2.128m)

## scene_4 (11 trajectories)
approach_smooth_traj_10 (X: 2.990m, Score: 2.996m)
approach_smooth_traj_4 (X: 2.990m, Score: 2.995m)
approach_smooth_traj_3 (X: 2.990m, Score: 2.995m)
approach_smooth_traj_9 (X: 2.990m, Score: 2.994m)
approach_smooth_traj_5 (X: 2.990m, Score: 2.992m)
approach_smooth_traj_2 (X: 2.990m, Score: 2.992m)
approach_smooth_traj_8 (X: 2.990m, Score: 2.991m)
approach_smooth_traj_7 (X: 2.990m, Score: 2.990m)
approach_smooth_traj_6 (X: 2.990m, Score: 2.990m)
approach_smooth_traj_1 (X: 2.990m, Score: 2.990m)
approach_smooth_traj_1_processed (X: 2.990m, Score: 2.990m)

## unknown (505 trajectories)
arc_left_push_000 (X: 3.000m, Score: 3.162m)
arc_left_push_017 (X: 3.000m, Score: 3.162m)
arc_left_push_033 (X: 3.000m, Score: 3.162m)
arc_left_push_059 (X: 3.000m, Score: 3.162m)
orbit_left_030 (X: 3.000m, Score: 3.162m)
arc_left_push_027 (X: 3.000m, Score: 3.162m)
arc_left_push_013 (X: 3.000m, Score: 3.161m)
arc_left_push_052 (X: 3.000m, Score: 3.161m)
arc_left_push_019 (X: 3.000m, Score: 3.159m)
orbit_left_007 (X: 3.000m, Score: 3.159m)
orbit_right_043 (X: 3.000m, Score: 3.159m)
arc_left_push_040 (X: 3.000m, Score: 3.158m)
arc_left_push_026 (X: 3.000m, Score: 3.157m)
arc_left_push_032 (X: 3.000m, Score: 3.155m)
arc_left_push_077 (X: 3.000m, Score: 3.154m)
orbit_right_019 (X: 3.000m, Score: 3.151m)
orbit_left_069 (X: 3.000m, Score: 3.151m)
arc_left_push_080 (X: 3.000m, Score: 3.151m)
orbit_right_047 (X: 3.000m, Score: 3.150m)
orbit_left_092 (X: 3.000m, Score: 3.150m)
orbit_left_019 (X: 3.000m, Score: 3.148m)
arc_left_push_005 (X: 3.000m, Score: 3.146m)
orbit_left_050 (X: 3.000m, Score: 3.145m)
arc_left_push_086 (X: 3.000m, Score: 3.144m)
arc_left_push_095 (X: 3.000m, Score: 3.143m)
orbit_left_057 (X: 2.998m, Score: 3.143m)
orbit_left_083 (X: 3.000m, Score: 3.142m)
arc_left_push_060 (X: 3.000m, Score: 3.142m)
arc_left_push_066 (X: 3.000m, Score: 3.140m)
orbit_right_060 (X: 3.000m, Score: 3.140m)
arc_left_push_007 (X: 3.000m, Score: 3.138m)
arc_left_push_072 (X: 3.000m, Score: 3.136m)
arc_left_push_094 (X: 3.000m, Score: 3.136m)
orbit_right_086 (X: 3.000m, Score: 3.134m)
arc_left_push_079 (X: 3.000m, Score: 3.132m)
arc_left_push_009 (X: 3.000m, Score: 3.131m)
arc_left_push_091 (X: 3.000m, Score: 3.131m)
orbit_right_041 (X: 3.000m, Score: 3.128m)
orbit_left_062 (X: 3.000m, Score: 3.128m)
arc_left_push_070 (X: 3.000m, Score: 3.127m)
arc_left_push_071 (X: 3.000m, Score: 3.127m)
orbit_right_093 (X: 3.000m, Score: 3.127m)
orbit_left_071 (X: 3.000m, Score: 3.123m)
orbit_right_083 (X: 3.000m, Score: 3.119m)
arc_left_push_089 (X: 3.000m, Score: 3.116m)
arc_left_push_039 (X: 3.000m, Score: 3.115m)
orbit_left_004 (X: 3.000m, Score: 3.114m)
tracking_zigzag_092 (X: 3.000m, Score: 3.114m)
arc_left_push_029 (X: 3.000m, Score: 3.112m)
arc_left_push_074 (X: 3.000m, Score: 3.110m)
orbit_right_058 (X: 3.000m, Score: 3.109m)
orbit_right_021 (X: 3.000m, Score: 3.108m)
arc_left_push_023 (X: 3.000m, Score: 3.108m)
orbit_left_047 (X: 3.000m, Score: 3.106m)
orbit_right_070 (X: 3.000m, Score: 3.105m)
orbit_left_026 (X: 3.000m, Score: 3.104m)
arc_left_push_078 (X: 3.000m, Score: 3.103m)
orbit_left_023 (X: 2.971m, Score: 3.103m)
orbit_right_062 (X: 3.000m, Score: 3.102m)
orbit_left_001 (X: 3.000m, Score: 3.102m)
arc_left_push_098 (X: 3.000m, Score: 3.102m)
arc_left_push_073 (X: 3.000m, Score: 3.101m)
arc_left_push_025 (X: 2.934m, Score: 3.100m)
arc_left_push_075 (X: 3.000m, Score: 3.099m)
orbit_left_000 (X: 3.000m, Score: 3.099m)
orbit_right_063 (X: 2.985m, Score: 3.096m)
orbit_right_052 (X: 3.000m, Score: 3.094m)
arc_left_push_081 (X: 2.926m, Score: 3.091m)
orbit_right_094 (X: 3.000m, Score: 3.090m)
orbit_left_090 (X: 2.997m, Score: 3.088m)
orbit_right_002 (X: 2.949m, Score: 3.087m)
orbit_left_010 (X: 3.000m, Score: 3.087m)
arc_left_push_038 (X: 2.983m, Score: 3.085m)
orbit_left_099 (X: 2.937m, Score: 3.085m)
orbit_right_040 (X: 3.000m, Score: 3.084m)
arc_left_push_022 (X: 2.916m, Score: 3.083m)
tracking_zigzag_050 (X: 3.000m, Score: 3.082m)
