trajectory_path,category,length,duration_s,waypoint_dt_s,start_waypoint_min_idx,start_waypoint_max_idx,horizontal_displacement_m,horizontal_range_m,path_length_m
trajectoryToLearn/world_json/cinematic_db/crane_down/crane_down_000.json,crane_down,120,12.0,0.1,30,83,0.994906,1.002874,1.117122
trajectoryToLearn/world_json/cinematic_db/crane_down/crane_down_019.json,crane_down,120,12.0,0.1,30,83,1.006887,1.00972,1.168644
trajectoryToLearn/world_json/cinematic_db/handheld_subtle/handheld_subtle_094.json,handheld_subtle,120,12.0,0.1,30,83,0.943309,1.013219,2.045996
trajectoryToLearn/world_json/cinematic_db/crane_up/crane_up_076.json,crane_up,120,12.0,0.1,30,83,1.008379,1.01405,1.127978
trajectoryToLearn/world_json/cinematic_db/crane_up/crane_up_036.json,crane_up,120,12.0,0.1,30,83,1.008624,1.019083,1.242903
trajectoryToLearn/world_json/cinematic_db/crane_down/crane_down_039.json,crane_down,120,12.0,0.1,30,83,1.015344,1.021606,1.174359
trajectoryToLearn/world_json/cinematic_db/crane_up/crane_up_092.json,crane_up,120,12.0,0.1,30,83,1.012815,1.023163,1.252033
trajectoryToLearn/world_json/cinematic_db/crane_up/crane_up_014.json,crane_up,120,12.0,0.1,30,83,1.015877,1.027826,1.187375
trajectoryToLearn/world_json/cinematic_db/crane_down/crane_down_078.json,crane_down,120,12.0,0.1,30,83,1.020479,1.028243,1.14677
trajectoryToLearn/world_json/cinematic_db/handheld_subtle/handheld_subtle_043.json,handheld_subtle,120,12.0,0.1,30,83,0.806641,1.032929,1.673116
trajectoryToLearn/world_json/cinematic_db/crane_down/crane_down_073.json,crane_down,120,12.0,0.1,30,83,1.037036,1.037191,1.180878
trajectoryToLearn/world_json/cinematic_db/handheld_subtle/handheld_subtle_026.json,handheld_subtle,120,12.0,0.1,30,83,0.892988,1.037463,2.318534
trajectoryToLearn/world_json/cinematic_db/crane_down/crane_down_017.json,crane_down,120,12.0,0.1,30,83,1.024035,1.037971,1.200616
trajectoryToLearn/world_json/cinematic_db/handheld_subtle/handheld_subtle_099.json,handheld_subtle,120,12.0,0.1,30,83,0.867627,1.041781,2.253528
trajectoryToLearn/world_json/cinematic_db/crane_down/crane_down_067.json,crane_down,120,12.0,0.1,30,83,1.041853,1.041853,1.12411
trajectoryToLearn/world_json/cinematic_db/crane_down/crane_down_013.json,crane_down,120,12.0,0.1,30,83,1.034251,1.042907,1.11559
trajectoryToLearn/world_json/cinematic_db/handheld_subtle/handheld_subtle_087.json,handheld_subtle,120,12.0,0.1,30,83,0.860783,1.046248,2.63754
trajectoryToLearn/world_json/cinematic_db/crane_down/crane_down_012.json,crane_down,120,12.0,0.1,30,83,1.026961,1.047603,1.150461
trajectoryToLearn/world_json/cinematic_db/crane_down/crane_down_029.json,crane_down,120,12.0,0.1,30,83,1.047098,1.053296,1.206264
trajectoryToLearn/world_json/cinematic_db/crane_up/crane_up_044.json,crane_up,120,12.0,0.1,30,83,1.056021,1.057688,1.203097
trajectoryToLearn/world_json/cinematic_db/handheld_subtle/handheld_subtle_048.json,handheld_subtle,120,12.0,0.1,30,83,0.909936,1.05783,2.357467
trajectoryToLearn/world_json/cinematic_db/handheld_subtle/handheld_subtle_067.json,handheld_subtle,120,12.0,0.1,30,83,0.987174,1.062596,2.085068
trajectoryToLearn/world_json/cinematic_db/handheld_subtle/handheld_subtle_037.json,handheld_subtle,120,12.0,0.1,30,83,1.015769,1.065009,1.541206
trajectoryToLearn/world_json/cinematic_db/crane_down/crane_down_094.json,crane_down,120,12.0,0.1,30,83,1.061583,1.070809,1.212074
trajectoryToLearn/world_json/cinematic_db/crane_up/crane_up_068.json,crane_up,120,12.0,0.1,30,83,1.062664,1.07373,1.315607
trajectoryToLearn/world_json/cinematic_db/crane_up/crane_up_019.json,crane_up,120,12.0,0.1,30,83,1.057171,1.076065,1.197185
trajectoryToLearn/world_json/cinematic_db/crane_up/crane_up_086.json,crane_up,120,12.0,0.1,30,83,1.080663,1.083869,1.272138
trajectoryToLearn/world_json/cinematic_db/handheld_subtle/handheld_subtle_063.json,handheld_subtle,120,12.0,0.1,30,83,0.934697,1.084561,2.300992
trajectoryToLearn/world_json/cinematic_db/crane_down/crane_down_087.json,crane_down,120,12.0,0.1,30,83,1.078745,1.086728,1.267145
trajectoryToLearn/world_json/cinematic_db/handheld_subtle/handheld_subtle_033.json,handheld_subtle,120,12.0,0.1,30,83,0.944618,1.088573,2.365274
trajectoryToLearn/world_json/cinematic_db/crane_up/crane_up_098.json,crane_up,120,12.0,0.1,30,83,1.090048,1.090048,1.254115
trajectoryToLearn/world_json/cinematic_db/handheld_subtle/handheld_subtle_057.json,handheld_subtle,120,12.0,0.1,30,83,1.033515,1.095012,1.810551
trajectoryToLearn/world_json/cinematic_db/crane_down/crane_down_064.json,crane_down,120,12.0,0.1,30,83,1.098905,1.101221,1.23832
trajectoryToLearn/world_json/cinematic_db/handheld_subtle/handheld_subtle_040.json,handheld_subtle,120,12.0,0.1,30,83,0.858447,1.114292,2.75688
trajectoryToLearn/world_json/cinematic_db/handheld_subtle/handheld_subtle_055.json,handheld_subtle,120,12.0,0.1,30,83,1.026922,1.116898,1.890656
trajectoryToLearn/world_json/cinematic_db/handheld_subtle/handheld_subtle_029.json,handheld_subtle,120,12.0,0.1,30,83,0.832478,1.119585,2.691199
trajectoryToLearn/world_json/cinematic_db/crane_down/crane_down_010.json,crane_down,120,12.0,0.1,30,83,1.108179,1.119833,1.284105
trajectoryToLearn/world_json/cinematic_db/handheld_subtle/handheld_subtle_088.json,handheld_subtle,120,12.0,0.1,30,83,1.071114,1.122087,1.428917
trajectoryToLearn/world_json/cinematic_db/crane_up/crane_up_006.json,crane_up,120,12.0,0.1,30,83,1.123475,1.125234,1.24824
trajectoryToLearn/world_json/cinematic_db/handheld_subtle/handheld_subtle_073.json,handheld_subtle,120,12.0,0.1,30,83,0.939009,1.127465,1.749051
trajectoryToLearn/world_json/cinematic_db/handheld_subtle/handheld_subtle_089.json,handheld_subtle,120,12.0,0.1,30,83,1.027994,1.130344,2.156667
trajectoryToLearn/world_json/cinematic_db/crane_down/crane_down_025.json,crane_down,120,12.0,0.1,30,83,1.100191,1.134431,1.383515
trajectoryToLearn/world_json/cinematic_db/crane_up/crane_up_040.json,crane_up,120,12.0,0.1,30,83,1.120498,1.135114,1.218409
trajectoryToLearn/world_json/cinematic_db/crane_down/crane_down_050.json,crane_down,120,12.0,0.1,30,83,1.125476,1.135176,1.303854
trajectoryToLearn/world_json/cinematic_db/crane_down/crane_down_037.json,crane_down,120,12.0,0.1,30,83,1.12948,1.140586,1.280402
trajectoryToLearn/world_json/cinematic_db/handheld_subtle/handheld_subtle_049.json,handheld_subtle,120,12.0,0.1,30,83,1.108926,1.141336,1.614357
