case,source_duration_s,retargeted_duration_s,samples,acquisition_end_index,source_acquisition_duration_s,retargeted_acquisition_duration_s,acquisition_time_scale,acquisition_retimed,semantic_start_position_world_m,position_error_mean_m,position_error_p95_m,position_error_max_m,position_error_final_m,acquisition_position_error_p95_m,acquisition_position_error_max_m,semantic_position_error_p95_m,semantic_position_error_max_m,maximum_abs_linear_velocity_mps,maximum_abs_yaw_rate_radps,maximum_abs_arm_rate_radps,passed,attempted_acquisition_time_scales
1,25.12368904166667,25.12368904166667,253,109,10.866992482308202,10.866992482308202,1.0,False,"[-8.905808499548584e-06, -2.905055407609325e-05, 1.3500452041625977]",1.511887553048989e-07,3.0129752145738703e-07,3.5819761519366137e-07,1.1312631275260003e-07,3.0143910719866726e-07,3.049596137326225e-07,2.9803327968478507e-07,3.5819761519366137e-07,0.027772479611169458,0.10662378236712577,0.1668299429477653,True,[1.0]
2,13.757301791666666,13.757301791666666,139,52,5.183910820048309,5.183910820048309,1.0,False,"[-0.00015586263907607645, -1.5013722077128477e-05, 1.3500328063964844]",1.454389205340056e-07,5.874582685417063e-07,6.311489437152402e-07,5.432131708524207e-08,6.216108721235698e-07,6.311489437152402e-07,6.799783570292184e-08,7.810601390970319e-08,0.094248639879488,0.01048405220053274,0.10000041134757243,True,[1.0]
3,7.789087791666667,7.789087791666667,79,37,3.694823696047009,3.694823696047009,1.0,False,"[-0.0009358574752695858, 0.00012118703307351097, 1.3499960899353027]",2.433304360304237e-07,8.258599849155777e-07,8.759803403802196e-07,3.5113517575811457e-08,8.640542480179978e-07,8.759803403802196e-07,1.6697408139688814e-07,1.698807462324513e-07,0.14391064342835516,0.040337964628880424,0.14032968897060316,True,[1.0]
4,22.291202374999997,22.291202374999997,224,108,10.795739266816142,10.795739266816142,1.0,False,"[-0.0005553712253458798, 0.00018763048865366727, 0.449930340051651]",2.5674934440019773e-07,8.359223909507501e-07,1.1159311043557229e-06,7.846578139037676e-08,1.0245277766770064e-06,1.1159311043557229e-06,8.052905210749284e-08,8.222363038213526e-08,0.11854675064731389,0.01470206677681631,0.44251190170041443,True,[1.0]
5,23.27137133333333,23.27137133333333,234,113,11.286115711015736,11.286115711015736,1.0,False,"[-0.0007973032770678401, 0.0002693665155675262, 0.4999000132083893]",2.3568369579299226e-07,8.031267463661913e-07,1.0482202031226452e-06,7.29273047786084e-08,9.67895945716332e-07,1.0482202031226452e-06,7.829309469864227e-08,8.011416427151179e-08,0.11089231985654129,0.01367863586223748,0.36015984464487405,True,[1.0]
6,12.3152785,13.755371550403225,125,58,5.760372201612903,7.200465252016128,1.25,True,"[2.7142757971887477e-05, -8.401440572924912e-05, 0.49984678626060486]",0.004298594058319312,0.029853838088427377,0.03178540084569169,1.136704595332132e-08,0.031409966926104024,0.03178540084569169,7.932912117717406e-08,8.952633235022761e-08,0.17365688219597705,0.011948300958604293,0.5,True,"[1.0, 1.25]"
7,17.247189249999998,17.247189249999998,174,72,7.178020959537571,7.178020959537571,1.0,False,"[0.002475749934092164, 0.0011135335080325603, 0.45202815532684326]",0.00909665435666214,0.061535176736114805,0.0697838304377509,2.795886853176805e-08,0.06776775069181638,0.0697838304377509,4.484787899675986e-08,9.103607625736448e-08,0.1777699186313108,0.015750648994290063,0.5,True,[1.0]
8,18.028425458333334,18.028425458333334,182,78,7.76915572237569,7.76915572237569,1.0,False,"[0.0013651872286573052, 0.0006140287732705474, 0.431118369102478]",0.004482974700797448,0.03674763649454736,0.0475799174526208,2.779046575015551e-08,0.044206160410344246,0.0475799174526208,4.613652787569273e-08,9.303977766993768e-08,0.165854490284072,0.01590392091926841,0.5,True,[1.0]
9,13.382477083333333,14.780646330845771,135,56,5.592676990049751,6.990846237562188,1.25,True,"[0.0034421735908836126, 0.0015482079470530152, 0.5028198957443237]",0.00602690564810063,0.041382812402972584,0.04403376686329376,3.5159572228306324e-08,0.04357327185104779,0.04403376686329376,6.89692557069925e-08,1.347218537871305e-07,0.17827121032458548,0.021897377954540047,0.5,True,"[1.0, 1.25]"
10,8.746370875,8.746370875,89,37,3.677451390625,3.677451390625,1.0,False,"[-0.0006196550675667822, 0.0001182535124826245, 1.3512446880340576]",2.3791035098018252e-07,8.124286386460285e-07,8.690743005437154e-07,7.275078595716043e-08,8.555223436986544e-07,8.690743005437154e-07,1.775171589312055e-07,3.7525622352590126e-07,0.15218300913464708,0.050341738359196725,0.1373244868899742,True,[1.0]
