case,source_samples,candidate_samples,source_duration_s,acquisition_duration_s,acquisition_steps,position_error_mean_m,position_error_p95_m,position_error_max_m,semantic_position_error_p95_m,semantic_position_error_max_m,source_fk_max_error_m,package_q_max_error_rad,package_time_max_error_s,package_attitude_max_error_deg,maximum_arm_gravity_effort_nm,gravity_effort_tolerance_nm,full_pose_anchor_position_error_m,full_pose_anchor_attitude_error_deg,physical_gimbal_ik_nonconverged_indices,physical_gimbal_ik_max_error_deg,physical_gimbal_rate_max_radps,semantic_retimed_interval_count,pre_gimbal_retime_duration_s,retargeted_duration_s,physical_gimbal_path_exported,arm_acquisition_plan,arm_acquisition_predicted_gravity_max_nm,passed,recovery_status
1,22,389,2.1,33.4,334,0.004408392738676957,0.03930097834663082,0.04901730329069785,0.045777834535677665,0.04901730329069785,8.181263480232808e-10,2.9614597440996704e-08,1.4901161138336505e-09,3.4150945850063755e-06,29.500745533539426,0.01,2.6924018003298866e-07,4.417781292343293e-05,[],0.053035549528447044,0.25000000000001416,13,2.1,38.8,False,direct_quintic,27.503751739743617,True,
2,26,374,2.5,32.1,321,0.005395003403852668,0.04451273401895157,0.049664922513634614,0.04877560371622701,0.049664922513634614,9.246419505557768e-10,5.556670124029495e-08,1.4901161138336505e-09,4.829673078902933e-06,29.5091129373759,0.01,1.4009172577662713e-08,3.394152320027214e-05,[],0.06748115032202041,0.2500000000000133,13,2.5,37.3,False,direct_quintic,28.583882026111947,True,
3,19,370,1.8,34.5,345,0.0019645078559985337,0.009067759173373907,0.04810686284011278,0.047574436035017056,0.04810686284011278,9.249924272093849e-10,4.4622936901106414e-08,1.4901161138336505e-09,4.829673078902933e-06,29.508282457868514,0.01,1.2212362769398184e-07,4.953779683963386e-06,[],0.06834444872715224,0.2500000000000133,4,1.8,36.9,False,direct_quintic,26.445994889456866,True,
4,16,441,1.5,42.5,425,9.110155761088058e-06,0.0,0.00030359821304491486,0.0003031238755320138,0.00030359821304491486,1.2520328078468319e-09,5.3288320644995224e-08,1.4901161138336505e-09,3.818191820832845e-06,29.37135479186281,0.01,6.83763330659234e-08,4.34710704584831e-06,[],0.0002709148738928341,0.24999999999999667,0,1.5,44.0,False,astar_pitch_elbow_4_waypoints,29.37135479186281,True,
5,16,435,1.5,41.900000000000006,419,8.797010181492735e-06,0.0,0.00031182835712933294,0.0002913144140078168,0.00031182835712933294,1.0480725568642132e-09,5.788104062709465e-08,1.4901161138336505e-09,3.818191820832845e-06,29.492836955924414,0.01,9.516787715301728e-08,7.5451957293744685e-06,[],0.0006801197886046447,0.24999999999999667,0,1.5,43.400000000000006,False,astar_pitch_elbow_4_waypoints,29.188100079124975,True,
6,17,445,1.6,42.800000000000004,428,9.210711263593538e-06,0.0,0.0002879067269217064,0.00026313198837163676,0.0002879067269217064,9.68346919184101e-10,5.925452639665707e-08,1.4901161138336505e-09,4.182619578303746e-06,29.188100079124975,0.01,4.947189657546076e-08,3.661215209531797e-06,[],3.6772695348729754e-05,0.24999999999999667,0,1.6,44.400000000000006,False,astar_pitch_elbow_5_waypoints,29.188100079124975,True,
7,21,446,2.0,42.5,425,1.3694531714795995e-05,0.0,0.0010689916440219556,0.0006042636695552262,0.0010689916440219556,9.928129684148936e-10,5.697866201082036e-08,1.4901161138336505e-09,4.182619578303746e-06,29.503965687993624,0.01,8.176764872523251e-09,4.114825043571709e-07,[],0.0023198919954275526,0.25000000000001443,0,2.0,44.5,False,astar_pitch_elbow_4_waypoints,29.503965687993624,True,
8,21,447,2.0,42.6,426,2.278287451773372e-05,0.0,0.002101490827002774,0.0011555678197751064,0.002101490827002774,9.697201274362918e-10,5.89282300733629e-08,1.4901161138336505e-09,4.182619578303746e-06,29.43688987677717,0.01,4.2084810767594855e-10,0.0,[],0.004659085186368685,0.25000000000001443,0,2.0,44.6,False,astar_pitch_elbow_4_waypoints,29.43688987677717,True,
9,21,444,2.0,42.300000000000004,423,1.5331857131749826e-05,0.0,0.0016907421031622234,0.0005817177503409811,0.0016907421031622234,9.88812179739194e-10,5.868777375184209e-08,1.4901161138336505e-09,4.182619578303746e-06,29.46389973317309,0.01,1.3355905763679895e-07,1.01581288699644e-05,[],0.0043120013906242085,0.25000000000001443,0,2.0,44.300000000000004,False,astar_pitch_elbow_4_waypoints,29.46389973317309,True,
10,23,370,2.2,34.1,341,0.0025926440223664952,0.034590605897134266,0.0493960101771274,0.048693249632844514,0.0493960101771274,9.281560205154239e-10,5.296035299195978e-08,1.4901161138336505e-09,4.182619578303746e-06,29.509622360990303,0.01,4.989419255698146e-07,2.867475228005241e-06,[],0.07166117928209005,0.2500000000000139,6,2.2,36.9,False,direct_quintic,26.88314231420463,True,
