case,planning_strategy,time_scale,acquisition_time_scale,retimed_duration_s,vertical_shift_m,position_error_max_m,position_error_p95_m,attitude_error_max_deg,attitude_error_p95_deg,attitude_ik_converged_ratio,maximum_abs_base_linear_velocity_mps,maximum_abs_base_lateral_velocity_mps,maximum_abs_base_yaw_rate_radps,maximum_abs_riser_rate_mps,maximum_abs_gimbal_rate_radps,minimum_riser_position_m,maximum_riser_position_m,maximum_abs_raw_proxy_target_rate_radps,maximum_abs_raw_proxy_target_step_rad,position_p95_bounded,position_max_bounded,attitude_p95_bounded,attitude_max_bounded,attitude_adapter_converged,base_linear_velocity_bounded,base_lateral_velocity_bounded,base_yaw_rate_bounded,riser_rate_bounded,proxy_joint_rate_bounded,raw_proxy_target_rate_bounded,riser_lower_bound,riser_upper_bound,passed
1,joint_adaptive,1.0,1.0,25.12368904166667,0.0,0.007082676383169789,0.0022801758404505075,1.2839244511863197e-07,1.2839239344954537e-07,1.0,0.04715729775735531,1.2005948549299464e-15,0.25,0.07195974889679095,0.3743074108367032,0.735357938179863,1.199999999622571,0.3743074108367032,0.03731739284068514,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,fixed_path,1.0,1.0,13.757301791666666,0.0,0.03645179265442321,0.035519946411806044,1.2839388504160693e-07,1.2839383862874035e-07,1.0,0.1066074443158359,3.4764574413667765e-10,0.25,0.1516646787123588,0.25245594267829014,0.7534091792682448,1.199999999622571,0.25245594267829014,0.025167482554528497,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,fixed_path,1.0,1.0,7.789087791666667,0.0,0.020973638392864077,0.01947714027908443,1.283932082639588e-07,1.2839317910635305e-07,1.0,0.16473209001226916,5.241250067276422e-10,0.2500000000000003,0.2161890417385436,0.25162278753913325,0.7464263045544285,1.199999999622571,0.2516227875391323,0.02512707669905358,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,joint_adaptive,1.0,1.0,22.291202374999997,0.0,0.00963422373968175,0.009374774547574445,1.2839265703908494e-07,1.2839262418260123e-07,1.0,0.018433330245844152,1.647553080012903e-15,0.25,0.1970308773292085,0.2494743829094733,3.7939279160473037e-29,1.199999999622571,0.2494743829094733,0.0249375962188938,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,joint_adaptive,1.0,1.0,23.27137133333333,0.0,0.009613569410685346,0.00937428632734695,1.283926543026542e-07,1.283926199611461e-07,1.0,0.01769535854456038,1.4350785503717388e-15,0.25,0.18743910160961946,0.24948783086600493,2.5239311921194726e-31,1.199999999622571,0.24948783086600493,0.024918128563221842,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,joint_adaptive,1.0,1.0,12.3152785,0.0,0.07133985232980065,0.05920072142426874,1.28392318772825e-07,1.2839228453134499e-07,1.0,0.046944214263192854,1.7686269745549147e-15,0.25,0.36554790671770593,0.25069024837596987,4.2707496516786955e-32,1.199999999622571,0.25069024837597015,0.024897743757937657,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,fixed_path,1.0,1.0,17.247189249999998,0.0,0.08049865907635394,0.07978533339401139,1.2839474205219853e-07,1.2839472641893563e-07,1.0,0.07781972850450931,1.6416284302196064e-10,0.25,0.2992433659327465,0.28685247066608127,7.703719777548943e-34,1.2,0.2868524706660824,0.028597681204670544,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,fixed_path,1.0,1.0,18.028425458333334,0.0,0.080340732002371,0.0797513475835214,1.2839474029648058e-07,1.283947310296994e-07,1.0,0.0755866493990179,1.5843354441539273e-10,0.25000000000000006,0.27384237177321497,0.27923507055984204,9.107298248878237e-17,1.2,0.2792350705598415,0.02781308649138431,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,fixed_path,1.0,1.0,13.382477083333333,0.0,0.08072599277366795,0.07992770520902322,1.2839474409225619e-07,1.283947337784914e-07,1.0,0.10019794656593876,7.05675747014145e-10,0.25,0.3849026048309454,0.3184632117813162,1.0691058840368783e-50,1.2,0.3184632117813173,0.0318046763697627,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,fixed_path,1.0,1.0,8.746370875,0.0,0.06483049602718022,0.06455947984959104,1.2839329573882636e-07,1.2839328196113362e-07,1.0,0.17805690576496244,7.858069464872093e-11,0.25,0.21888418685986571,0.29321216596387617,0.744347218837741,1.199999999622571,0.29321216596387617,0.02914252668843309,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,fixed_path,1.0,1.0,8.585959875,0.0,0.03833239311941852,0.036636619241197065,1.2839262847509562e-07,1.2839262090102336e-07,1.0,0.16437326465907082,4.038572006235744e-12,0.25000000000000006,0.22886824007029768,0.24587965060268477,0.7440301797477904,1.199999999622571,0.24587965060268296,0.024547823420391343,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,fixed_path,1.0,1.0,20.305637750000002,0.0,0.057670277410314476,0.057585411279617346,1.2839408101869162e-07,1.2839406901452203e-07,1.0,0.08751280265021222,3.632626975758263e-11,0.25,0.25546249032753077,0.2792597702886055,0.35323124668729605,1.199999999622571,0.27925977028860494,0.027796802615826566,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,joint_adaptive,1.0,1.0,12.890654625,0.0,0.0548314496085811,0.04761235931781801,1.283952134208654e-07,1.2839496619256308e-07,1.0,0.039558875764103885,1.559670522630897e-16,0.25,0.12295327460219777,0.24053107596917164,0.7398020337709585,1.199999999622571,0.24053107596917164,0.024035682379055956,True,True,True,True,True,True,True,True,True,True,True,True,True,True
14,joint_adaptive,1.0,1.0,7.1692422916666665,0.0,0.07038637189662544,0.05640644184894909,1.2839409345921044e-07,1.2839389095625176e-07,1.0,0.056180734428237934,1.2331267593958775e-15,0.25,0.22118680485539116,0.2256132622635038,0.7162467307185815,1.199999999622571,0.2256132622635038,0.02246494640806107,True,True,True,True,True,True,True,True,True,True,True,True,True,True
