case,duration_s,command_feasible_ratio,attitude_reconstruction_error_max_deg,base_yaw_rate_max_rad_s,yaw_command_min_deg,yaw_command_max_deg,roll_command_min_deg,roll_command_max_deg,pitch_command_min_deg,pitch_command_max_deg,yaw_rate_p95_deg_s,roll_rate_p95_deg_s,pitch_rate_p95_deg_s,yaw_rate_max_deg_s,roll_rate_max_deg_s,pitch_rate_max_deg_s,command_envelope_feasible,attitude_reconstruction_exact,base_yaw_rate_bounded,hard_command_rate_bounded,filming_command_rate_p95_bounded,passed
1,25.12368904166667,1.0,0.0,0.25000000000000056,-95.65910122801756,-1.7988728225704536,-5.624826772860506,-2.5732568664616218,5.186480968275856,8.56336309298892,18.39821047526828,0.9479433195460432,0.9754326765941325,18.411084027035535,1.0652563820414966,1.0139730296040728,True,True,True,True,True,True
2,13.757301791666666,1.0,0.0,0.25,-2.2166121087566815,15.941803373550854,-1.4246922446226347,1.666410727654591,-1.084029510288246,-0.49473663283363906,13.927178028946757,2.371651965920625,0.24750817965148883,14.103270031675066,2.495002176937145,0.6963868658685873,True,True,True,True,True,True
3,7.789087791666667,1.0,0.0,0.2500000000000003,-4.115185579895474,10.89723678616197,-1.612247092081466,-0.40061690924990506,4.088017058367656,4.430477776043505,14.345455453469025,1.353154768000131,0.27161050633996,14.351243638281314,1.3633896467351985,0.38211012720623677,True,True,True,True,True,True
4,22.291202374999997,1.0,0.0,0.2500000000000022,-150.96939496377874,7.652225820785027,-3.441038217559428,1.6008094705894587,7.6541444295034085,14.697384599842321,14.35238521678008,1.1941872459399157,0.7807264830261714,14.38579995882343,1.4804712605795394,0.7881651514453316,True,True,True,True,True,True
5,23.27137133333333,1.0,0.0,0.2500000000000011,-150.97964574473437,7.655816570603495,-3.441459426875661,1.6264959920642235,7.654254886136041,14.698842845968555,14.349512181967778,1.1639339479530293,0.786628516044125,14.381949464256358,1.4768581779995085,0.795101039428298,True,True,True,True,True,True
6,12.3152785,1.0,0.0,0.25,-16.419563773281027,19.99540638056693,-3.7697694389340746,-3.3344793284164655,8.316569441383912,9.63572142002616,14.34729314228805,0.1593491667620844,0.5317996350508554,14.351800143194646,0.3264393193840204,0.9383032273351487,True,True,True,True,True,True
7,17.247189249999998,1.0,0.0,0.2500000000000003,-8.836849711764524,28.708721918142615,-3.837639724895388,-1.6066682791574314,11.127001569843829,11.929945891983895,15.062830489771326,0.9073869423284434,0.4708973539286061,15.066637202588403,0.9512976961684823,0.6621335184737942,True,True,True,True,True,True
8,18.028425458333334,1.0,0.0,0.25,-8.844273590800151,29.4229708646863,-3.8376500758015726,-1.6063373551797253,11.126683636856072,11.929256372039001,15.030214173071908,0.8966222879862487,0.45426064926120624,15.033660851309861,0.9334702727641065,1.0564852003947038,True,True,True,True,True,True
9,13.382477083333333,1.0,0.0,0.25000000000000056,-5.16131137473554,25.211149214000788,-3.8376413499856046,-1.7363326455454984,11.11730626218734,11.922635666337342,15.277975443401898,0.9760220382192152,0.5805312987336482,15.2827628870041,1.0160425555401194,0.9359356945527418,True,True,True,True,True,True
10,8.746370875,1.0,0.0,0.25,-4.814402550406597,12.693902910673375,-0.10570729384782397,0.9627157460949257,4.690224586700542,5.332085828201991,14.29827963438968,1.0759307397002156,0.5867087102738858,15.482219366124765,1.143838822224367,0.7056376321273483,True,True,True,True,True,True
11,8.585959875,1.0,0.0,0.25000000000000056,-12.143650823703448,5.853577369185596,-1.8817067579323512,1.5364389349446768,-2.1534106009644307,-1.2463187969738194,14.045385220229308,2.7977208330185652,0.5076648967370985,15.227829264816943,2.984550137078288,0.7298629934786124,True,True,True,True,True,True
12,20.305637750000002,1.0,0.0,0.2500000000000011,-12.922129841443683,23.5199400801868,-1.3835346321283042,2.5427680505491645,3.2716218192873705,6.106367871526028,14.542540095069633,1.1785527250684638,0.7800446016894831,15.518130735229942,1.3979625265790492,1.1524694497961667,True,True,True,True,True,True
13,12.890654625,1.0,0.0,0.25000000000000056,-58.51995920453199,13.622475118383388,-2.781681396506214,-0.05410213099902771,9.476209654089832,12.001478541780967,14.971619369457903,0.7823754703852602,0.5095739275637585,14.974587439295146,0.8878202380854533,0.5626797120567884,True,True,True,True,True,True
14,7.1692422916666665,1.0,0.0,0.2500000000000011,-29.95770790278867,10.22213584999604,-1.942056423535797,-0.30331488036418397,11.504951091320608,12.618058441190161,15.980629895649411,1.3983828717654256,0.38313876037299577,15.98432780266064,1.500454600950448,0.45166460206120723,True,True,True,True,True,True
15,6.923560625,1.0,0.0,0.25,-6.044137265902412,78.32800308278989,-2.795828904090819,-1.8076833770907237,7.141658775255113,9.516801442091626,14.582017050018912,0.8713919791355033,0.7295517580879701,14.5836286652921,0.8999147355870369,0.7452369548048784,True,True,True,True,True,True
16,11.442305874999999,1.0,0.0,0.25000000000000444,-112.25262330734,21.8006819742164,-2.6063422656543964,2.788491527162109,6.840614201811734,14.237994903556903,14.847267567204666,1.2613525024831762,1.1739558629954403,14.84767020471796,1.311305054557509,1.190313101086787,True,True,True,True,True,True
17,11.035999791666669,1.0,0.0,0.2500000000000022,-50.09302991390355,1.2937365526289808,-3.5184398374635664,-1.4443231456112198,10.64959006231875,11.388466841524062,16.104673471583126,0.9540704719677949,0.4523905092764964,16.107851666426054,1.212835132195654,0.6090629108058203,True,True,True,True,True,True
18,7.493259041666667,1.0,0.0,0.25,-71.1537634760803,5.0204778171511455,0.6360733676791741,5.054203857073886,8.753793531545565,16.016788139876265,14.326823102245958,1.5052252979824126,1.6585857508681292,14.4093576543614,1.7118408744589988,1.6631713141587787,True,True,True,True,True,True
19,16.335658041666665,1.0,0.0,0.2500000000000011,-18.61454134180718,93.02837562921542,-5.927058007697574,10.08040615227955,-2.937969091836876,8.87446749286397,15.13059703108023,3.0015853531794656,2.9423779353779325,15.16055600079509,3.021990771990796,3.0137401617718207,True,True,True,True,True,True
20,50.83595604166666,1.0,0.0,0.2500000000000003,-1.0636457209310275,29.08504844148756,-1.1748573592374405,5.251113372046965,-4.083626151340679,7.668826639514152,2.8187426775144337,0.16820625366441466,0.36971588426424185,14.421483897472653,3.2684527429824075,1.80603463425756,True,True,True,True,True,True
21,19.039222791666667,1.0,0.0,0.2500000000000001,7.186028127056838,69.10783691189638,2.0568142619843086,26.20081553014889,-20.999018882507574,-1.2629246292206922,15.286511344385401,6.8441898357887645,6.766135092240202,15.734866360298593,7.183337603888856,7.479544021268768,True,True,True,True,True,True
24,7.532802833333333,1.0,0.0,0.2500000000000022,-47.148224224082576,-39.11631747229778,17.900782447009615,75.01809549496247,-78.9357234486973,-71.32170036140907,4.878460646903827,14.938574313957067,5.15769285692193,8.766927117634502,15.048691126330475,8.867523478642523,True,True,True,True,True,True
25,11.426997458333332,1.0,0.0,0.2500000000000022,-29.177043418770282,106.16385880112759,-3.121311548147178,0.39041491352746194,5.509904671629114,10.128209126991823,15.845670429084414,1.0525042394235287,0.7425107395380024,15.846455860730625,1.138002764784856,0.746152680932578,True,True,True,True,True,True
27,29.539172916666665,1.0,0.0,0.25000000000000056,-19.502392010046734,56.27458343405745,-21.158717654597552,6.996094569880984,-18.870662522389647,5.40609827759217,14.18996841059099,6.908292809499231,3.9985160151911265,14.860686315549987,8.000515908490069,5.929305324901172,True,True,True,True,True,True
28,37.193848625,1.0,0.0,0.2500000000000003,1.3712352286813265,37.82255989136768,-0.2577185966891759,2.5420838214829753,3.2755288552980537,5.217492883013532,14.32699292642642,1.2845875427378382,0.7597807919851249,14.741034861174693,1.4761421251701459,1.0935699998042265,True,True,True,True,True,True
29,8.3244225,1.0,0.0,0.25,-2.7614764436063557,17.599649113603128,-2.762243831238012,3.2141195092642767,-4.32088420884568,-1.4416450646378318,13.831640357962534,3.416285284973944,0.7418931521900931,13.942210429864437,3.4642163024299704,1.3254137903997885,True,True,True,True,True,True
30,15.267422416666667,1.0,0.0,0.2500000000000003,-2.1933823998756132,22.86583459967787,-1.0901580223967253,4.126584630061459,-3.6278347195136478,-0.05735981691507139,13.968206035749171,3.07752645880805,0.895187360058017,14.035663655353407,3.1622537440947593,1.3420878983976032,True,True,True,True,True,True
