case,planning_strategy,vertical_shift_m,position_error_max_m,position_error_p95_m,attitude_error_max_deg,attitude_error_p95_deg,attitude_ik_converged_ratio,maximum_abs_base_linear_velocity_mps,maximum_abs_base_lateral_velocity_mps,maximum_abs_base_yaw_rate_radps,maximum_abs_riser_rate_mps,maximum_abs_gimbal_rate_radps,minimum_riser_position_m,maximum_riser_position_m,maximum_abs_raw_proxy_target_rate_radps,maximum_abs_raw_proxy_target_step_rad,position_p95_bounded,position_max_bounded,attitude_p95_bounded,attitude_max_bounded,attitude_adapter_converged,base_linear_velocity_bounded,base_lateral_velocity_bounded,base_yaw_rate_bounded,riser_rate_bounded,proxy_joint_rate_bounded,raw_proxy_target_rate_bounded,riser_lower_bound,riser_upper_bound,passed
1,joint_adaptive,0.0,7.304498377875598e-07,6.343845671008317e-07,1.2839257278081873e-07,1.2839251556525051e-07,1.0,0.0286937474806509,1.3754218140538586e-14,0.20220662946867116,0.011676432967818574,0.27248276441189956,0.7355575690063545,0.7563278915499048,0.27248276441189956,0.013636996498602283,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,fixed_path,0.0,0.025461083878933033,0.025318850762757136,1.283932809879079e-07,1.2839324681632151e-07,1.0,0.06690305612792385,4.062624707157588e-09,0.25,0.004413601462243491,0.24614849735057487,0.7487070217049578,0.7617692335210218,0.24614849735057764,0.012313960594971501,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,fixed_path,0.0,0.020451092633527415,0.01940895798561417,1.2839314713005863e-07,1.2839308865947768e-07,1.0,0.08667157639930509,1.7528669067184276e-12,0.2500000000000003,0.0025126437469835173,0.25047645324389906,0.7457616422652602,0.7478732231024992,0.2504764532438986,0.012586987639109794,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,joint_adaptive,0.15247871911790978,0.010437657440601716,0.010267678353331207,1.2839291062735802e-07,1.2839288688583832e-07,1.0,0.009136634283968652,4.4813826071973056e-15,0.14231593092226022,0.008982372189177974,0.14180745738937464,0.0,0.09114130426345429,0.14180745738937464,0.007103502766181435,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,joint_adaptive,0.10247831765826487,0.010487252783673266,0.010309172404193063,1.2839293973225945e-07,1.283929021132095e-07,1.0,0.00873001728940338,3.987283097728804e-15,0.14453327771607535,0.008587241754189392,0.1440236657931688,0.0,0.09113582841764226,0.1440236657931688,0.0072078025966897386,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,joint_adaptive,0.112270607317559,0.009119581576648146,0.008778680049863936,1.2839285971626305e-07,1.2839283811954086e-07,1.0,0.03465217981113571,1.1835628066939677e-15,0.4,0.011688943527081636,0.4002870744834307,7.734534656659139e-31,0.056366357423120406,0.4002870744834307,0.02003921464314473,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,joint_adaptive,0.14922991779172917,0.009073290328512673,0.003859129217764945,1.2839292420518936e-07,1.2839252990286376e-07,1.0,0.0444006570560044,6.184668411278303e-15,0.4000000000000018,0.016624418342441247,0.3995907591697785,0.0,0.06586338321201436,0.3995907591697785,0.02003435304055934,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,joint_adaptive,0.16926611381564644,0.009076464018317187,0.002096105578499618,1.2839292230924936e-07,1.2839252026191586e-07,1.0,0.0424696186785883,6.027319401038408e-15,0.4000000000000009,0.01595535581434665,0.3995954233333093,0.0,0.06590193028094364,0.3995954233333093,0.020011323064043296,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,joint_adaptive,0.09900393572831034,0.022090981137283288,0.01773481528623941,1.2839294939035246e-07,1.2839256760847059e-07,1.0,0.05741290583277958,3.570265841692035e-15,0.4000000000000035,0.0212958557344979,0.3995198455370121,0.0,0.06565350682813072,0.3995198455370121,0.02002458867878598,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,fixed_path,0.0,0.029712732567031618,0.02846609611217842,1.283934311348094e-07,1.2839339053414124e-07,1.0,0.10005581299378367,4.189769417917253e-11,0.25,0.005161776367222177,0.2702157034549066,0.7461655109903829,0.7498402285852038,0.2702157034549063,0.013582797463595572,True,True,True,True,True,True,True,True,True,True,True,True,True,True
