episode,env,total_reward,length
0,0,-206391.3508465886,399
1,1,-202065.19570112228,399
2,2,-219438.33185315132,399
3,3,-2677.7077088952065,399
4,4,-229000.5746462047,399
5,5,-167747.2161886096,399
6,6,-182973.36891305447,399
7,7,-179808.2742574811,399
8,8,-36779.570882081985,399
9,9,-158726.13695174456,399
10,10,-4737.967359900475,399
11,11,-299735.98956894875,399
12,12,-168329.9976643324,399
13,13,-262708.49076890945,399
14,14,-251389.00997632742,399
15,15,-241910.41923606396,399
16,16,-169289.74786138535,399
17,17,-313065.0767210722,399
18,18,-246847.91052758694,399
19,19,-325303.164306283,399
20,20,-222949.26104962826,399
21,21,-132135.54516029358,399
22,22,-172362.5003503263,399
23,23,-304982.3920080662,399
24,24,5994.197083711624,399
25,25,-294293.0226084888,399
26,26,-195394.87090182304,399
27,27,-175763.438098073,399
28,28,-5314.308444976807,399
29,29,-177218.96110886335,399
30,30,-163983.2215230465,399
31,31,-31023.086429715157,399
32,32,-26293.763796567917,399
33,33,-138880.12994670868,399
34,34,-163936.3531243205,399
35,35,-308243.06928373873,399
36,36,-31190.70657324791,399
37,37,-141536.65799927711,399
38,38,-240389.706618011,399
39,39,-184953.87682962418,399
40,40,-177653.0627346933,399
41,41,-153802.5654785633,399
42,42,-139096.08448952436,399
43,43,-349924.2741256356,399
44,44,-256236.0002157539,399
45,45,-181673.25778472424,399
46,46,-151433.17498230934,399
47,47,-159506.11728560925,399
48,48,-164601.38806200027,399
49,49,-172650.0221811533,399
50,50,-168464.43320679665,399
51,51,-281477.1491137743,399
52,52,-282175.6938146353,399
53,53,-259228.27959275246,399
54,54,-245339.7326388359,399
55,55,-6642.869171977043,399
56,56,-2631992.028338194,399
57,57,-119389.34343785048,399
58,58,-180539.7395554781,399
59,59,-27442.97451722622,399
60,60,-138180.82659196854,399
61,61,-275814.923576355,399
62,62,-30882.7584194839,399
63,63,-173506.01485723257,399
64,0,-173530.17639869452,399
65,1,-102412.15840023756,399
66,2,-28454.586327552795,399
67,3,-9217.519701570272,399
68,4,-139790.17700886726,399
69,5,-184285.4233942032,399
70,6,-27772.477585196495,399
71,7,-128208.46391472965,399
72,8,-210196.22795557976,399
73,9,-193533.7141655162,399
74,10,-190712.5002817437,399
75,11,-237418.18464303017,399
76,12,-164581.47323656082,399
77,13,-32324.048351585865,399
78,14,-180163.45424222946,399
79,15,-209907.82931435108,399
80,16,-32383.55070757866,399
81,17,-2371.0586928129196,399
82,18,-141738.53056710958,399
83,19,-256831.35907316208,399
84,20,-280859.30515766144,399
85,21,-24258.13347196579,399
86,22,-2212.1223924160004,399
87,23,-205350.32749170065,399
88,24,-137863.05470481515,399
89,25,-225314.1802226305,399
90,26,-286253.5912722349,399
91,27,-290522.7422132492,399
92,28,-191138.23349618912,399
93,29,-160714.21348118782,399
94,30,-25870.942903637886,399
95,31,-222712.12237358093,399
96,32,-172880.9312632084,399
97,33,-295586.45646107197,399
98,34,-132765.40001893044,399
99,35,-167441.88729715347,399
100,36,-111983.04737234116,399
101,37,-163585.50586915016,399
102,38,-35595.73373293877,399
103,39,-37996.53892445564,399
104,40,-326309.7697044015,399
105,41,-254326.76443827152,399
106,42,-21577.491884589195,399
107,43,-33630.04541450739,399
108,44,-168273.70237517357,399
109,45,-239645.57131510973,399
110,46,-11766.71392518282,399
111,47,-217158.27805519104,399
112,48,-206366.94247579575,399
113,49,-119573.82523882389,399
114,50,-162691.36912417412,399
115,51,-249947.61474192142,399
116,52,-164732.97270464897,399
117,53,-34524.72571623325,399
118,54,-262709.54169535637,399
119,55,-2763.8608651161194,399
120,56,-235364.66960906982,399
121,57,-290750.78558683395,399
122,58,-240783.0121099949,399
123,59,-95683.18911933899,399
124,60,-153894.69148755074,399
125,61,-772.0531971082091,399
126,62,-29653.261933207512,399
127,63,-334231.1441822052,399
128,0,-289729.087682724,399
129,1,-260627.17384025455,399
130,2,-102089.44951412082,399
131,3,-135305.5427788198,399
132,4,-220822.5923321247,399
133,5,-199393.57787129283,399
134,6,-170805.17914539576,399
135,7,-255096.2054054141,399
136,8,-210133.23723948002,399
137,9,-30004.592921972275,399
138,10,-26858.55679011345,399
139,11,-270129.5194041729,399
140,12,-152076.15933418274,399
141,13,-40180.197850227356,399
142,14,-209802.6392737627,399
143,15,-288031.26291394234,399
144,16,-192368.77288770676,399
145,17,-176567.3236285448,399
146,18,-120648.78628218174,399
147,19,-185423.31567454338,399
148,20,-31528.004071950912,399
149,21,-4571.285700678825,399
150,22,-181029.49146330357,399
151,23,-13741.79613852501,399
152,24,-176519.60257035494,399
153,25,-169962.86885905266,399
154,26,-3646.909562110901,399
155,27,-258325.96044951677,399
156,28,-191651.45175603032,399
157,29,-184520.49480342865,399
158,30,-188274.71446061134,399
159,31,-211647.79643762112,399
160,32,-253602.28939786553,399
161,33,-290264.972271204,399
162,34,-174093.92134562135,399
163,35,-100811.58988904953,399
164,36,-29148.645885944366,399
165,37,-271932.7509419918,399
166,38,-203716.7262482643,399
167,39,-174637.60231910646,399
168,40,-260670.78658735752,399
169,41,-235969.61310696602,399
170,42,-165645.68817138672,399
171,43,-178782.1797566414,399
172,44,-122675.45093137026,399
173,45,-221258.2407002449,399
174,46,-17670.989250421524,399
175,47,-156892.01641571522,399
176,48,-148873.8703649044,399
177,49,-302041.2675406933,399
178,50,-265000.4062232971,399
179,51,-132749.86076128483,399
180,52,-118623.98705495149,399
181,53,-289012.1398713589,399
182,54,-284876.31337189674,399
183,55,-160633.8285741806,399
184,56,-111220.41986966133,399
185,57,-201773.58638310432,399
186,58,-168907.24980044365,399
187,59,-198014.63204455376,399
188,60,-14387.672836273909,399
189,61,-222993.96538507938,399
190,62,-161581.57248163223,399
191,63,-14568.76712847501,399
192,0,-121971.00810050964,399
193,1,-31238.89165070653,399
194,2,-189755.64483636618,399
195,3,-191207.51618108153,399
196,4,-141852.74732235074,399
197,5,-183996.81023550034,399
198,6,-109968.5845117569,399
199,7,-308246.9032121673,399
