episode,env,total_reward,length
0,0,-317151.72318792343,399
1,1,-415325.5522829294,399
2,2,-141466.2200627327,399
3,3,-358857.4824953079,399
4,4,-332967.4380187988,399
5,5,-121779.75535964966,399
6,6,-349665.36133909225,399
7,7,-157917.35519981384,399
8,8,-292991.67740249634,399
9,9,-134241.1869354248,399
10,10,-143463.20946097374,399
11,11,-121221.32015061378,399
12,12,-149907.6378674507,399
13,13,-321885.61586523056,399
14,14,-72300.02372807264,399
15,15,-328311.613530159,399
16,16,-274197.51331710815,399
17,17,-294935.9816828966,399
18,18,-277297.79402446747,399
19,19,-318352.95941495895,399
20,20,-413516.1660079956,399
21,21,-121686.65808200836,399
22,22,-288422.6271495819,399
23,23,-277331.4494805336,399
24,24,-122470.36724483967,399
25,25,-310749.04849147797,399
26,26,-459836.509244442,399
27,27,-285041.02174305916,399
28,28,-319076.4889204502,399
29,29,-322615.7875776291,399
30,30,-421953.76811003685,399
31,31,-252608.20340943336,399
32,32,-349282.0574145317,399
33,33,-169867.84881711006,399
34,34,-333756.23566770554,399
35,35,-274808.7785119843,399
36,36,-157474.22691249847,399
37,37,-146162.2412633896,399
38,38,-288777.95631313324,399
39,39,-298769.5038135052,399
40,40,-397257.41260403395,399
41,41,-310610.42743206024,399
42,42,-384145.3470058441,399
43,43,-223224.7346789837,399
44,44,-344915.72560572624,399
45,45,-295163.18196868896,399
46,46,-286062.4534664154,399
47,47,-293989.6467702985,399
48,48,-469336.79547798634,399
49,49,-476109.6315045357,399
50,50,-310486.8255224228,399
51,51,-292338.8403778076,399
52,52,-297532.872177124,399
53,53,-295743.2518520355,399
54,54,-153286.6479921341,399
55,55,-333682.1662569046,399
56,56,-158638.0013833046,399
57,57,-359353.07131004333,399
58,58,-313125.8588987589,399
59,59,-306474.74890470505,399
60,60,-302561.6083345413,399
61,61,-430140.414481163,399
62,62,-302305.0102581978,399
63,63,-339693.46786022186,399
64,0,-331569.3183295727,399
65,1,-322601.09557819366,399
66,2,-174157.1760582924,399
67,3,-251845.68575525284,399
68,4,-292848.5574326515,399
69,5,-357763.07765698433,399
70,6,-355332.24523210526,399
71,7,-307095.25607299805,399
72,8,-340708.3291454315,399
73,9,-111549.67405360937,399
74,10,-339756.3555070162,399
75,11,-313416.8120074272,399
76,12,-346415.29583740234,399
77,13,-319912.5898652077,399
78,14,-320473.55825823545,399
79,15,-298727.0197777748,399
80,16,-290799.2521123886,399
81,17,-364647.36550331116,399
82,18,-351169.4031023979,399
83,19,-154966.3419728279,399
84,20,-353065.2841348648,399
85,21,-286167.69997119904,399
86,22,-397505.391728878,399
87,23,-313277.9058032036,399
88,24,-307984.00149583817,399
89,25,-320439.23775339127,399
90,26,-353895.0656003952,399
91,27,-348605.84342098236,399
92,28,-335352.17767965794,399
93,29,-297430.34457683563,399
94,30,-308649.0507616997,399
95,31,-289299.12553036213,399
96,32,-432986.0551145077,399
97,33,-456913.96950757504,399
98,34,-303240.2354745865,399
