ee_pos_error_x,ee_pos_error_y,ee_pos_error_z,ee_pos_error_norm,ee_ori_error_rad,ee_ori_error_deg,joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,base_vel_x,base_vel_y,base_ang_vel
-0.009867208,0.20960855,-0.06883611,0.22085454,1.1836995,67.820984,0.00011266029,0.0009240457,0.00029714894,-0.07384302,0.07978521,-0.16553438,-0.19847348,0.18032682,-0.20000036,-0.0009928127,0.0043644654,0.0015337453,-1.2892678,1.5927936,-3.9885254,-3.9904354,2.8916783,-4.0000005,0.26208848,0.0046091573,0.42952117
-0.58492404,0.08012298,-0.0712649,0.5970876,0.70863366,40.601707,0.0010508765,0.00055097,-2.3388282e-05,0.0031589754,0.8686638,-1.3544552,-1.0599215,0.39381632,-1.019167,-0.008459581,0.0026048096,0.00025390295,-1.4739393,1.5909429,1.7307012,-0.51029325,1.7860944,-1.044579,0.25344586,0.057397924,0.7853019
-0.6763329,-0.0125748,-0.071239874,0.69556487,0.5244011,30.04597,1.1303128e-05,1.5149011e-05,0.000106898326,0.0022501852,1.1784334,-1.3720993,-1.0669923,0.43276826,-0.819829,-0.002308106,-0.0021917415,0.0004456549,-0.48664775,0.36419237,0.34114045,0.37399215,0.4230317,0.4196377,0.43047056,0.218045,0.50847614
-0.76743174,-0.2397663,-0.07078074,0.8340503,0.5845798,33.493954,-2.1543343e-05,3.9297174e-05,5.5848304e-06,0.019584797,1.2154503,-1.3446873,-1.0746264,0.43416667,-0.75714505,-0.00048733776,0.00034470798,-0.00043266526,0.03619717,0.10154858,0.14968619,0.42729387,-0.009724043,0.1471883,0.3381935,0.2621805,0.36287177
-0.8590359,-0.49056584,-0.07709664,1.0192709,0.63961434,36.6472,-9.033418e-06,-0.00011560369,0.0001128899,0.003857165,1.2848017,-1.3410697,-1.1284535,0.40523225,-0.68725026,-0.00026791007,-0.0014944224,0.0005394169,-0.45268184,0.03885373,0.17055923,-0.1687811,0.018875726,0.2259498,0.32305822,0.3571143,0.33439243
-0.9295447,-0.7821669,-0.07779533,1.2447534,0.7226199,41.403065,-7.474703e-05,5.3347532e-05,-1.6254833e-05,0.0166898,1.3307161,-1.3814303,-1.1695999,0.42380446,-0.62030053,0.0002081971,0.00020703713,0.00017595217,0.11651818,0.007619923,-0.099155635,-0.07684228,-0.012376903,0.16157779,0.30379623,0.4445181,0.21663603
-0.9942204,-1.0690135,-0.079848126,1.4967256,0.7811215,44.75496,2.6066846e-05,-7.3264237e-06,2.5710974e-06,0.01001206,1.3771756,-1.3821737,-1.1445498,0.4034791,-0.61639947,-0.0005264561,-0.0003594731,7.270032e-05,-0.06623591,0.10578226,0.042770885,0.14273682,-0.057797655,-0.05623032,0.27969036,0.51928693,0.1930689
-1.061548,-1.3498193,-0.07918809,1.7670339,0.8123543,46.54447,-4.3289987e-05,1.7593864e-05,-8.2796146e-07,0.009850462,1.4229267,-1.3738723,-1.1071367,0.3857902,-0.6520709,-0.00024290633,-0.00024699283,0.00041199088,-0.019981802,0.037976846,-0.02592647,-0.022115352,-0.0812604,0.05031694,0.24988283,0.5541148,0.08568697
-1.1180911,-1.6292808,-0.078213334,2.0480165,0.8080088,46.29549,1.3097306e-06,2.6251928e-07,3.107498e-06,0.0037828302,1.4372909,-1.3523921,-1.0673757,0.4000985,-0.697518,-0.00034453016,2.7413607e-05,-0.00012710807,-0.014055525,0.04259622,0.027866032,0.048086103,0.005839362,-0.01924019,0.22686698,0.5497216,0.045500256
-1.164619,-1.9117472,-0.07238862,2.337953,0.80646384,46.20697,8.958923e-06,3.658392e-06,-5.652294e-06,0.012684267,1.4435667,-1.3337457,-1.0359437,0.40928823,-0.73289317,-0.00032247452,2.0539424e-05,-3.561936e-05,0.026677288,0.03736957,0.035821345,0.032975025,-0.005199371,-0.034812987,0.21725404,0.54576045,0.02044255
