episode,env,total_reward,length
0,0,-381409.17633128166,399
1,1,-25389.64116334915,399
2,2,-306417.0476330519,399
3,3,-438946.55223965645,399
4,4,-308189.72704967856,399
5,5,-23747.938983917236,399
6,6,-362336.79494178295,399
7,7,-384866.8116235137,399
8,8,-255765.34338817,399
9,9,-314999.3825095892,399
10,10,-241551.3987722695,399
11,11,-434373.30945611,399
12,12,-254968.2941198349,399
13,13,-376617.71021413803,399
14,14,-227908.9343533516,399
15,15,-424607.81220698357,399
16,16,-266010.9433465004,399
17,17,-282875.10547560453,399
18,18,-239306.17245411873,399
19,19,-264989.0583201647,399
20,20,-218902.52598881721,399
21,21,-281596.5818591118,399
22,22,-217217.0353793949,399
23,23,-238264.05238628387,399
24,24,-27280.798642516136,399
25,25,-265085.8723012209,399
26,26,-322919.3192515969,399
27,27,-22184.92536008358,399
28,28,-20423.98617816344,399
29,29,-181751.2907538116,399
30,30,-421826.90473151207,399
31,31,-25933.692999385297,399
32,32,-319315.73796486855,399
33,33,-341263.3837492466,399
34,34,-19835.106844693422,399
35,35,-290497.1829585433,399
36,36,-297427.9108631611,399
37,37,-241436.08987131715,399
38,38,-33005.78140723705,399
39,39,-286118.1137306839,399
40,40,-295659.1656982899,399
41,41,-253302.54172712564,399
42,42,-404143.16991743445,399
43,43,-285094.54943561554,399
44,44,-303246.21475338936,399
45,45,-304047.24989914894,399
46,46,-307620.2946832627,399
47,47,-251592.59866380692,399
48,48,-265085.69904732704,399
49,49,-442911.17491960526,399
50,50,-309045.8362762928,399
51,51,-316982.50731012225,399
52,52,-429860.20597183704,399
53,53,-333321.9160541296,399
54,54,-57459.92530171573,399
55,55,-396645.33707761765,399
56,56,-259170.3820348531,399
57,57,-393508.7838521004,399
58,58,-22665.349563816562,399
59,59,-294212.46360337734,399
60,60,-271606.7983683683,399
61,61,-244065.89322462678,399
62,62,-287430.1209023595,399
63,63,-261906.48930308223,399
64,0,-242299.88306680322,399
65,1,-184560.15884913132,399
66,2,-211768.11693772674,399
67,3,-221861.42262767255,399
68,4,-417277.7001956701,399
69,5,-372046.68948721886,399
70,6,-5350.6705844812095,399
71,7,-375208.4299046993,399
72,8,-187163.71880996227,399
73,9,-319983.85715568066,399
74,10,-392563.1903299093,399
75,11,-17829.595479503274,399
76,12,-315144.64920818806,399
77,13,-278966.02176499367,399
78,14,-18699.463040053844,399
79,15,-315350.3120203018,399
80,16,-276726.74943578243,399
81,17,-318497.833886981,399
82,18,-333412.19791030884,399
83,19,-235980.54944497347,399
84,20,-52867.456910952926,399
85,21,-294257.02843403816,399
86,22,-252734.27174702287,399
87,23,-247132.63644739985,399
88,24,-11343.497705418617,399
89,25,-296289.545478262,399
90,26,-275727.9615614414,399
91,27,-314300.3709537685,399
92,28,-337804.25796836615,399
93,29,-304844.800688982,399
