episode,env,total_reward,length
0,0,-196281.26714611053,399
1,1,-128492.12146258354,399
2,2,-126273.08540558815,399
3,3,-21161.20605355501,399
4,4,-125273.10360398889,399
5,5,-113967.68742556125,399
6,6,-206555.37725830078,399
7,7,-124884.91020703316,399
8,8,-192812.52800694108,399
9,9,-266497.6582379341,399
10,10,-123802.78621217608,399
11,11,-93504.25101613998,399
12,12,-197619.2903188467,399
13,13,-55836.76676106453,399
14,14,-90483.42296409607,399
15,15,-165108.96657276154,399
16,16,-114691.45242595673,399
17,17,-250809.46197032928,399
18,18,-127879.48386192322,399
19,19,-124334.91454696655,399
20,20,-108093.29706838727,399
21,21,-148336.85884284973,399
22,22,-123069.98264288902,399
23,23,-128856.24274909496,399
24,24,-12396.356941699982,399
25,25,-79982.23249204457,399
26,26,-88978.54122495651,399
27,27,-97651.98266632855,399
28,28,-137028.12820971012,399
29,29,-38986.068506121635,399
30,30,-159872.00707116723,399
31,31,-75230.14175673202,399
32,32,-110146.6519958973,399
33,33,-114795.40989375114,399
34,34,-201504.38850547373,399
35,35,-121525.68426440656,399
36,36,-143063.15726661682,399
37,37,-160194.31448304653,399
38,38,-27779.581619679928,399
39,39,-131168.30855846405,399
40,40,-90341.5326564908,399
41,41,-51566.779184281826,399
42,42,-177577.12888729572,399
43,43,-27142.383153438568,399
44,44,-135387.85379171371,399
45,45,-94600.0533798933,399
46,46,-80923.18955510855,399
47,47,-86870.40884828568,399
48,48,-198931.79051852226,399
49,49,-83206.0397464037,399
50,50,-73148.08390140533,399
51,51,-109246.03044772148,399
52,52,-121352.78974182531,399
53,53,-7789.965246349573,399
54,54,-10795.807956248522,399
55,55,-192234.37480795383,399
56,56,-180790.034837842,399
57,57,-128480.06330049038,399
58,58,-29352.412787914276,399
59,59,-124653.52660948038,399
60,60,-124682.66104125977,399
61,61,-127832.36707983911,399
62,62,-98336.6157655716,399
63,63,-123597.92802619934,399
64,0,-71537.23220771551,399
65,1,-100370.30338741839,399
66,2,-106066.01466140151,399
67,3,-115795.63936954737,399
68,4,-68163.93987178057,399
69,5,-105670.40613222122,399
70,6,-198350.16611135006,399
71,7,-52349.03248977661,399
72,8,-146282.34976053238,399
73,9,-110577.46530938148,399
74,10,-108682.14231348038,399
75,11,-10982.034157931805,399
76,12,-116124.51897597313,399
77,13,-159790.44474089146,399
78,14,-60875.70456266403,399
79,15,-194742.95664258674,399
80,16,-122708.81983411312,399
81,17,-147056.16391181946,399
82,18,-226826.63171553612,399
83,19,-123860.73689842224,399
84,20,-202598.0969786644,399
85,21,-211310.07843263447,399
86,22,-68271.00525933504,399
87,23,-111320.43557143211,399
88,24,-115308.62605810165,399
89,25,-116487.42513743043,399
90,26,-123269.052765131,399
91,27,-175598.95225180686,399
92,28,-199588.12353920937,399
93,29,-101757.97376143932,399
94,30,-117994.95961368084,399
95,31,-135489.1295691207,399
96,32,-167832.24175074697,399
97,33,-163673.5634714365,399
98,34,-108269.06130194664,399
99,35,-125056.44929432869,399
100,36,-244632.39036393166,399
101,37,-72400.48139333725,399
102,38,-93804.67870724201,399
103,39,-132630.5838382244,399
104,40,-110759.60250520706,399
105,41,-125018.688621521,399
106,42,-149009.25767302513,399
107,43,-130918.05263376236,399
108,44,-157809.43880200386,399
109,45,-105116.18509095162,399
110,46,-157996.11509267986,399
111,47,-86804.38977301121,399
112,48,-173004.66910862923,399
113,49,-160206.4221405983,399
114,50,-123903.6459402442,399
115,51,-195955.4760620594,399
116,52,-161293.84420263767,399
117,53,-142658.77935761213,399
118,54,-103362.92678278685,399
119,55,-177777.09157156944,399
120,56,-45722.49848675728,399
121,57,-82734.72642838955,399
122,58,-155788.24204981327,399
123,59,-217550.12069249153,399
124,60,-177152.29234604537,399
125,61,-218225.36535453796,399
126,62,-72741.70574784279,399
127,63,-123146.81696602702,399
128,0,-148267.88473939896,399
129,1,-258544.71847099066,399
130,2,-208192.07553577423,399
131,3,-159734.0988035798,399
132,4,-170968.0636523366,399
133,5,-128913.47198400646,399
134,6,16086.170796781778,399
135,7,-178495.90461075306,399
136,8,-85036.33683550358,399
137,9,-111878.89301973581,399
138,10,-114276.81356239319,399
139,11,-118065.53083372116,399
140,12,-127455.0193862319,399
141,13,-86453.46755152941,399
142,14,-141641.74452614784,399
143,15,-118670.48717366159,399
144,16,-126417.56103229523,399
145,17,-175324.7870016098,399
146,18,-199441.1596543789,399
147,19,-183494.41315543652,399
148,20,-155809.3200492859,399
149,21,-48854.25068473816,399
150,22,-133917.0552971363,399
151,23,-97588.64951300621,399
152,24,-186272.7421553135,399
153,25,-236628.62695252895,399
154,26,-70740.93517893553,399
155,27,-144622.1039351225,399
156,28,-140734.7195236683,399
157,29,-127048.35468149185,399
158,30,-196092.28591299057,399
159,31,-29415.058226138353,399
160,32,-79513.22204630077,399
161,33,-175486.94334023446,399
162,34,-21699.179603934288,399
163,35,-96802.85230267048,399
164,36,-147740.03915831447,399
165,37,-19862.621919564903,399
166,38,38.68270802497864,399
167,39,-110119.60899986327,399
168,40,-10140.120394229889,399
169,41,-207550.75077927113,399
170,42,-160668.06131529808,399
171,43,-141499.69972217083,399
172,44,-81329.49908998609,399
173,45,-189764.46637165546,399
174,46,-168868.92308806628,399
175,47,-133646.1607861519,399
176,48,-39350.352560043335,399
177,49,-45917.854207754135,399
178,50,-194516.2665745914,399
179,51,-161929.36743289232,399
180,52,-162776.21668858826,399
181,53,-175410.76925849915,399
182,54,-209682.49370229244,399
183,55,-213055.639459908,399
184,56,-53505.33240497112,399
185,57,1593.415717959404,399
186,58,-130002.245618999,399
187,59,-102057.70076274872,399
188,60,-141024.70270442963,399
189,61,-21701.90978562832,399
190,62,-168342.25574710965,399
191,63,-167667.18263721466,399
192,0,-49104.503613591194,399
193,1,-209398.28364109993,399
194,2,-245579.31941390038,399
195,3,-132674.83143424988,399
196,4,-149199.6457145512,399
197,5,-111584.3786893785,399
198,6,-55224.2830953598,399
199,7,-198284.55563533306,399
