episode,env,total_reward,length
0,0,-57546.751925468445,399
1,1,-103111.17171931267,399
2,2,-19436.85035392642,399
3,3,-60010.646100878716,399
4,4,-644065.3178958893,399
5,5,-47346.71296608448,399
6,6,-20118.777049541473,399
7,7,-14603.629239611328,399
8,8,-25200.91086769104,399
9,9,-136535.36039799452,399
10,10,-133858.47630643845,399
11,11,-416315.6218764782,399
12,12,-461679.5175485611,399
13,13,-298902.0954632759,399
14,14,-20041.376300156116,399
15,15,-200755.79452946782,399
16,16,-27184.369532823563,399
17,17,-262705.49508976936,399
18,18,-59804.683341026306,399
19,19,-51163.80463588238,399
20,20,-73847.81539034843,399
21,21,-447591.23579597473,399
22,22,-219103.62406134605,399
23,23,-258883.53874969482,399
24,24,-132055.06322526932,399
25,25,-142527.26696062088,399
26,26,-11998.646572470665,399
27,27,-730089.2776148319,399
28,28,-79601.13426208496,399
29,29,-314924.53255462646,399
30,30,-66406.05395746231,399
31,31,-658739.4481589794,399
32,32,-707684.4389448836,399
33,33,-276243.46966052055,399
34,34,-58787.64126467705,399
35,35,-352938.492249012,399
36,36,-395521.64207720757,399
37,37,-10296.34156703949,399
38,38,-99197.63664364815,399
39,39,-45985.158569574356,399
40,40,-37318.30326795578,399
41,41,-577941.1165113449,399
42,42,-582656.5650525093,399
43,43,-101654.44823694229,399
44,44,-64520.39665365219,399
45,45,-197433.87718367577,399
46,46,-82188.52297997475,399
47,47,-190187.84728822112,399
48,48,-47400.55883836746,399
49,49,-464086.3720524311,399
50,50,-9038.352287977934,399
51,51,-6289.994316168129,399
52,52,-458428.62529301643,399
53,53,-12583.787810191512,399
54,54,-14082.79938068986,399
55,55,-30548.076409101486,399
56,56,-564063.7820372581,399
57,57,-562804.2415111065,399
58,58,-13129.351873710752,399
59,59,-552422.8979928493,399
60,60,-515859.0609483719,399
61,61,-413465.21088933945,399
62,62,-1066465.3922386467,399
63,63,-262939.163151741,399
64,0,-513145.08427143097,399
65,1,-15506.294462263584,399
66,2,-18408.213842391968,399
67,3,-145406.3329553604,399
68,4,-211574.7875995636,399
69,5,-729326.824539721,399
70,6,-10948.692060999572,399
71,7,-67878.07814598083,399
72,8,-129908.86696338654,399
73,9,-15165.384867310524,399
74,10,-65599.52991867065,399
75,11,-313211.70125865936,399
76,12,-867838.9565639496,399
77,13,-38154.917939186096,399
78,14,-55373.98403739929,399
79,15,-76688.28727149963,399
80,16,-366596.2213821411,399
81,17,-246299.11969566345,399
82,18,-39124.76662445068,399
83,19,-13303.203894674778,399
84,20,-116386.4340467453,399
85,21,-719169.174495697,399
86,22,-55058.030309677124,399
87,23,-45660.40494251251,399
88,24,-13042.996860921383,399
89,25,-22028.064875900745,399
90,26,-466171.57886505127,399
91,27,-59495.31412315369,399
92,28,-23099.97293663025,399
93,29,-443231.5461206436,399
94,30,-21147.24363899231,399
95,31,-774768.0981502533,399
96,32,-46306.64737033844,399
97,33,-18708.38132929802,399
98,34,-51875.429107666016,399
99,35,-78528.9046087265,399
100,36,-15879.734476938844,399
101,37,-145386.79918670654,399
102,38,-44234.34849739075,399
103,39,-116369.31907176971,399
104,40,-79649.70156383514,399
105,41,-17560.684979707003,399
106,42,-576373.3535633087,399
107,43,-34201.70341205597,399
108,44,-15974.764178216457,399
109,45,-61283.11788368225,399
110,46,-367582.4384059906,399
111,47,-76772.60336828232,399
112,48,-34635.257185935974,399
113,49,-523742.26654076576,399
114,50,-419206.70585918427,399
115,51,-14566.618210673332,399
116,52,-486408.0967826843,399
117,53,-206157.300699234,399
118,54,-832030.2427043915,399
119,55,-106236.35970878601,399
120,56,-71913.72397232056,399
121,57,-759049.9469051361,399
122,58,-55720.01756763458,399
123,59,-201198.54946899414,399
124,60,-719103.1791610718,399
125,61,-61829.733097076416,399
126,62,-612244.5293617249,399
127,63,-71916.29095458984,399
128,0,-13288.837744563818,399
129,1,-190534.44851970673,399
130,2,-24055.609588623047,399
131,3,-428150.33069086075,399
132,4,-549042.6022024155,399
133,5,-20929.678802490234,399
134,6,-507482.9565973282,399
135,7,-180550.06236743927,399
136,8,-613566.1975564957,399
137,9,-778151.4474797845,399
138,10,-373476.1630296707,399
139,11,-47184.35858631134,399
140,12,-520310.2317428589,399
141,13,-338519.89591121674,399
142,14,-468773.3682937622,399
143,15,-842409.2372808456,399
144,16,-130750.6995677948,399
145,17,-12769.08352559805,399
146,18,-573754.171295166,399
147,19,-17960.20946788788,399
148,20,-23296.803770065308,399
149,21,-12923.350268423557,399
150,22,-39286.71034812927,399
151,23,-636512.5916099548,399
152,24,-580463.3957281113,399
153,25,-11344.142228603363,399
154,26,-78949.90735435486,399
155,27,-66629.14212036133,399
156,28,-52116.09041571617,399
157,29,-58253.93888473511,399
158,30,-66014.51497745514,399
159,31,-54188.0608625412,399
160,32,-453895.9279241562,399
161,33,-639946.4479818344,399
162,34,-417108.62495326996,399
163,35,-605447.1648006439,399
164,36,-35485.06394958496,399
165,37,-916315.900914669,399
166,38,-10534.13781100884,399
167,39,-35640.37494087219,399
168,40,-80807.33235117793,399
169,41,-131751.24075889587,399
170,42,-23927.524616241455,399
171,43,-19091.57670879364,399
172,44,-564062.1368236542,399
173,45,-508720.0166540146,399
174,46,-42579.58338832855,399
175,47,-17962.255173683167,399
176,48,-79349.09643745422,399
177,49,-173283.7237892151,399
178,50,-12011.762275777757,399
179,51,-22961.82055091858,399
180,52,-321142.33647346497,399
181,53,-32404.7043800354,399
182,54,-448635.7682495117,399
183,55,-227207.4275045395,399
184,56,-632669.0970153809,399
185,57,-381039.3977174759,399
186,58,-351629.54674243927,399
187,59,-580062.4160337448,399
188,60,-335548.7493457794,399
189,61,-273410.40021419525,399
190,62,-584028.1202058792,399
191,63,-351939.6350412369,399
192,0,-46834.166489601135,399
193,1,-116539.83146953583,399
194,2,-55467.5350189209,399
195,3,-463597.6475362778,399
196,4,-35294.50039577484,399
197,5,-11993.672741442919,399
198,6,-511911.68052864075,399
199,7,-45051.95063686371,399
