episode,env,total_reward,length
0,0,-331651.47058296204,399
1,1,-301669.7104972601,399
2,2,-195907.45540487766,399
3,3,-410729.25029444695,399
4,4,-258975.47946953773,399
5,5,-295481.9214590788,399
6,6,-164166.77199995518,399
7,7,-360751.17039227486,399
8,8,-375417.60647034645,399
9,9,-322197.11977767944,399
10,10,-398355.62333106995,399
11,11,-309813.06046795845,399
12,12,-283731.35034286976,399
13,13,-311495.5470764637,399
14,14,-496859.66292738914,399
15,15,-302807.0122140646,399
16,16,-239453.83822357655,399
17,17,-220608.26989150047,399
18,18,-402300.04511010647,399
19,19,-293346.3028540611,399
20,20,-299038.47541832924,399
21,21,-173685.43181407452,399
22,22,-164165.35757505894,399
23,23,-432588.3892637491,399
24,24,-314943.8132876158,399
25,25,-330229.0049674511,399
26,26,-378683.6091592312,399
27,27,-185713.35431039333,399
28,28,-189408.65767872334,399
29,29,-344862.29499673843,399
30,30,-228884.05327653885,399
31,31,-290901.3557525873,399
32,32,-231193.34033286572,399
33,33,-405342.09236204624,399
34,34,-361192.52149641514,399
35,35,-291928.4688209295,399
36,36,-364713.57036936283,399
37,37,-386776.5829150677,399
38,38,-347053.3154634237,399
39,39,-296903.61325597763,399
40,40,-345721.36893868446,399
41,41,-379354.5278350115,399
42,42,-281043.1923048496,399
43,43,-241816.30236029625,399
44,44,-304135.5414649248,399
45,45,-284234.5957146287,399
46,46,-347147.16433131695,399
47,47,-248735.29232609272,399
48,48,-255767.7189385891,399
49,49,-176648.2193595171,399
50,50,-280744.6706802845,399
51,51,-419353.9183790684,399
52,52,-405713.5416212082,399
53,53,-469967.4607934952,399
54,54,-338635.2403752804,399
55,55,-344484.0768163204,399
56,56,-335372.75751042366,399
57,57,-427322.3317539692,399
58,58,-306022.343136549,399
59,59,-180595.0101288557,399
60,60,-248789.49398899078,399
61,61,-307183.98976159096,399
62,62,-278458.27485239506,399
63,63,-250220.01546692848,399
64,0,-347118.77359604836,399
65,1,-366081.85269880295,399
66,2,-277214.40371870995,399
67,3,-212528.35129344463,399
68,4,-363049.04199028015,399
69,5,-30944.841076374054,399
70,6,-361784.43233692646,399
71,7,-293461.9426841736,399
72,8,-264240.1736755371,399
73,9,-269141.4615678787,399
74,10,-392117.7235674858,399
75,11,-358516.78281378746,399
76,12,-258359.00769758224,399
