episode,env,total_reward,length
0,0,-2140.013096988201,399
1,1,-6406.421572864056,399
2,2,-6846.015350341797,399
3,3,-1984.53381472826,399
4,4,-5943.011480867863,399
5,5,-1828.8403397798538,399
6,6,-11097.332764148712,399
7,7,-6231.212943792343,399
8,8,-924.5538375377655,399
9,9,-18200.655786693096,399
10,10,-3470.3501567840576,399
11,11,-1360.5536091327667,399
12,12,-3470.427600324154,399
13,13,-16693.50074017048,399
14,14,-1137.8961043953896,399
15,15,1826.0360987186432,399
16,16,-4473.618748426437,399
17,17,-2872.9994742274284,399
18,18,-3028.129340350628,399
19,19,1057.4796938300133,399
20,20,2050.787817835808,399
21,21,1160.7128756046295,399
22,22,-11.831027448177338,399
23,23,-1406.6651126146317,399
24,24,342.0286838412285,399
25,25,3798.3882341384888,399
26,26,912.8363698124886,399
27,27,-902.7366682291031,399
28,28,-3540.1038459539413,399
29,29,-5840.693775951862,399
30,30,-1375.6684213280678,399
31,31,592.2053593993187,399
32,32,-3152.3164253234863,399
33,33,786.7379884719849,399
34,34,-751.3568788170815,399
35,35,-18183.82254743576,399
36,36,993.7547489404678,399
37,37,-427.754787504673,399
38,38,1145.9295988082886,399
39,39,-5476.730163127184,399
40,40,-16412.67970985174,399
41,41,-3825.727245569229,399
42,42,-5509.310663342476,399
43,43,-15896.952831625938,399
44,44,-14630.151010274887,399
45,45,575.7423269748688,399
46,46,-4745.656898379326,399
47,47,-16047.147468358278,399
48,48,-933.7462544441223,399
49,49,1198.4527877569199,399
50,50,-1760.3991059064865,399
51,51,-14634.440244987607,399
52,52,1515.6229939460754,399
53,53,-4999.298983454704,399
54,54,-15855.043020665646,399
55,55,-3376.288620531559,399
56,56,-4688.170329332352,399
57,57,-6277.989600896835,399
58,58,-17391.334276214242,399
59,59,-1586.3176908493042,399
60,60,-6829.247154772282,399
61,61,-1833.1912232637405,399
62,62,-1540.0071921348572,399
63,63,1613.8142022490501,399
64,0,-17398.276668071747,399
65,1,-2040.714420735836,399
66,2,-7427.7041945159435,399
67,3,-14116.51295208931,399
68,4,2638.8326513767242,399
69,5,1065.9397156238556,399
70,6,-6144.28341293335,399
71,7,-16736.98249310255,399
72,8,-16764.403423786163,399
73,9,-7756.943431288004,399
74,10,-56785.43376100063,399
75,11,-3356.0533018112183,399
76,12,-1050.127925157547,399
77,13,-16454.87639349699,399
78,14,-16475.88950753212,399
79,15,-6004.845266342163,399
80,16,-16293.906800866127,399
81,17,-5684.037464141846,399
82,18,2647.3456321656704,399
83,19,-1687.3379563689232,399
84,20,-17985.46936607361,399
85,21,-28.389641135931015,399
86,22,-3847.80439722538,399
87,23,6682.796447992325,399
88,24,3152.4730855226517,399
89,25,6292.35288053751,399
90,26,-17030.229481637478,399
91,27,-19119.24852478504,399
92,28,-2199.5122495293617,399
93,29,2940.3558398485184,399
94,30,-4966.605475306511,399
95,31,8689.285241186619,399
96,32,-5570.8012400865555,399
97,33,-2566.1690843105316,399
98,34,-16252.701737940311,399
99,35,-3750.381778627634,399
100,36,4961.686102986336,399
101,37,-2239.07530015707,399
102,38,4143.4854092001915,399
103,39,-18168.366991758347,399
104,40,-20268.263235211372,399
105,41,-5831.2027336061,399
106,42,-1818.4412618279457,399
107,43,-17401.94624865055,399
108,44,-16912.272052049637,399
109,45,-604.0924441218376,399
110,46,-725.2187811136246,399
111,47,642.2676230669022,399
112,48,-8159.529333293438,399
113,49,-4131.14087626338,399
114,50,-3295.6918519735336,399
115,51,-3650.422312617302,399
116,52,2447.2080233097076,399
117,53,-3028.049976095557,399
118,54,-5479.710495531559,399
119,55,-3831.166677057743,399
120,56,6123.591219842434,399
121,57,1501.4264211058617,399
122,58,-17727.850169740617,399
123,59,-3215.6434757113457,399
124,60,-7848.5403608977795,399
125,61,-2005.2585163712502,399
126,62,1748.4585630893707,399
127,63,5089.038456141949,399
128,0,-15002.707268118858,399
129,1,-1181.5881813764572,399
130,2,-13355.749695241451,399
131,3,-16109.793769866228,399
132,4,-16412.26924586296,399
133,5,2634.913381934166,399
134,6,-1754.783529639244,399
135,7,1199.001366853714,399
136,8,448.26337653398514,399
137,9,1361.796668291092,399
138,10,-14916.010031938553,399
139,11,699.9455673098564,399
140,12,-4171.764839500189,399
141,13,-5831.671332657337,399
142,14,-2459.2372366189957,399
143,15,-1221.912297964096,399
144,16,-10712.55959880352,399
145,17,102.77605605125427,399
146,18,-493.68557465076447,399
147,19,2031.280880331993,399
148,20,-2338.7096428871155,399
149,21,-12246.044495373964,399
150,22,-3236.7618626207113,399
151,23,190.743399143219,399
152,24,-17011.292268514633,399
153,25,-2027.295116186142,399
154,26,-1977.77459192276,399
155,27,-14304.45424091816,399
156,28,-3067.2510820627213,399
157,29,-2040.4602417349815,399
158,30,748.6967225074768,399
159,31,-2501.888690173626,399
160,32,522.5798952281475,399
161,33,581.3322033882141,399
162,34,-9372.098563194275,399
163,35,-17310.532284498215,399
164,36,-3147.81440782547,399
165,37,2165.677255630493,399
166,38,957.9877895712852,399
167,39,-17069.01964622736,399
168,40,-5978.187467813492,399
169,41,175.71864652633667,399
170,42,631.9516373872757,399
171,43,-1261.483328461647,399
172,44,-16977.662175178528,399
173,45,-54.93742483854294,399
174,46,-1163.994745016098,399
175,47,-4409.574284315109,399
176,48,-17405.54616932571,399
177,49,-2304.612544298172,399
178,50,-1120.8959956169128,399
179,51,-2059.0521945357323,399
180,52,-5109.617840588093,399
181,53,-14.225507453083992,399
182,54,-1006.2879666090012,399
183,55,-1524.8386888504028,399
184,56,-14215.018156290054,399
185,57,-12246.895285010338,399
186,58,-3799.067580461502,399
187,59,-14784.124135136604,399
188,60,-984.229213476181,399
189,61,-1790.483647942543,399
190,62,-1218.299993634224,399
191,63,214.88069260120392,399
192,0,-17594.829956904054,399
193,1,-4059.0613793730736,399
194,2,-6424.0110803842545,399
195,3,-3541.587099969387,399
196,4,-15268.003039360046,399
197,5,6893.956956684589,399
198,6,-2600.7752404809,399
199,7,-5972.989202737808,399
