episode,env,total_reward,length
0,0,63205.33894979954,399
1,1,65686.9599685669,399
2,2,68022.22549319267,399
3,3,59135.909494161606,399
4,4,36232.53295791149,399
5,5,56305.902893424034,399
6,6,65500.25491285324,399
7,7,48810.548823833466,399
8,8,68297.27226734161,399
9,9,66820.26651769876,399
10,10,67931.27841544151,399
11,11,65205.42939186096,399
12,12,56352.31184414774,399
13,13,62952.59349632263,399
14,14,67663.5122833252,399
15,15,56521.21410241723,399
16,16,-367058.96453619003,399
17,17,-305647.9532109611,399
18,18,48913.24175131321,399
19,19,53369.193328619,399
20,20,68038.55575561523,399
21,21,-344574.91393470764,399
22,22,48727.726692438126,399
23,23,54060.856300503016,399
24,24,43670.043453514576,399
25,25,43739.748190522194,399
26,26,60881.8757648468,399
27,27,68330.69167518616,399
28,28,61073.15528297424,399
29,29,70849.4755153656,399
30,30,55507.30770970881,399
31,31,64241.71376991272,399
32,32,56058.085909843445,399
33,33,53804.86395585537,399
34,34,65644.91702842712,399
35,35,74566.12411499023,399
36,36,63836.99487328529,399
37,37,62597.68455505371,399
38,38,28744.710712075233,399
39,39,55027.72673690319,399
40,40,71511.59693717957,399
41,41,39177.52041065693,399
42,42,53868.752068698406,399
43,43,48872.459877327085,399
44,44,60183.64237904549,399
45,45,69582.29768943787,399
46,46,55420.81450808048,399
47,47,-325343.37061715126,399
48,48,33025.41416013241,399
49,49,60084.84058856964,399
50,50,31376.296523213387,399
51,51,69398.99073410034,399
52,52,59476.11273872852,399
53,53,65793.88007450104,399
54,54,63688.41176390648,399
55,55,70252.94545078278,399
56,56,69081.63844490051,399
57,57,-364987.5280906558,399
58,58,48213.8632748723,399
59,59,51453.8979152441,399
60,60,69933.0318107605,399
61,61,-346523.0470352173,399
62,62,-355465.2886468768,399
63,63,67163.1192855835,399
64,0,66366.711810112,399
65,1,53631.664793908596,399
66,2,32727.831721663475,399
67,3,66943.81232643127,399
68,4,54755.28133031726,399
69,5,40846.64978694916,399
70,6,53212.94798088074,399
71,7,53019.05961751938,399
72,8,50409.618685062975,399
73,9,45656.33877195045,399
74,10,65433.339014053345,399
75,11,46883.04902379215,399
76,12,40539.98461997509,399
77,13,-382919.36370682716,399
78,14,39642.418304130435,399
79,15,74076.01943016052,399
80,16,64762.29691696167,399
81,17,54639.198325481266,399
82,18,52709.4673538208,399
83,19,70958.2006893158,399
84,20,71099.33057785034,399
85,21,46587.81291133165,399
86,22,65772.62557125092,399
87,23,56042.01188278198,399
88,24,76868.35190582275,399
89,25,-385039.73469758034,399
90,26,65230.00067639351,399
91,27,70458.73295211792,399
92,28,-318300.2587571144,399
93,29,66641.34315395355,399
94,30,70369.48986434937,399
95,31,63154.539096832275,399
96,32,63980.026539325714,399
97,33,57113.54110968113,399
98,34,-30509.738832950592,399
99,35,67243.15880966187,399
100,36,69451.87657165527,399
101,37,67947.37135887146,399
102,38,60952.70951509476,399
103,39,59720.91297578812,399
104,40,57411.55008769035,399
105,41,23614.028567492962,399
106,42,-375673.8440347314,399
107,43,-344110.9987001419,399
108,44,52911.014902591705,399
109,45,38846.31618876383,399
110,46,-343093.27853250504,399
111,47,66789.46649241447,399
112,48,69616.8051700592,399
113,49,35597.73879130185,399
114,50,32144.10437321663,399
115,51,42166.18745470047,399
116,52,70138.17118930817,399
117,53,66923.26701164246,399
118,54,45875.955835700035,399
119,55,46471.397767841816,399
120,56,49858.54525870085,399
121,57,61577.773477077484,399
122,58,42447.00793404877,399
123,59,63778.681418418884,399
124,60,62418.70169830322,399
125,61,65845.35286140442,399
126,62,-382110.73391246796,399
127,63,-351467.51237654686,399
128,0,-268680.17369532585,399
129,1,47069.15719130635,399
130,2,41623.38649113476,399
131,3,57703.96012021601,399
132,4,61292.02171897888,399
133,5,-381151.02354454994,399
134,6,64009.42381167412,399
135,7,-384138.8667382598,399
136,8,65769.90792751312,399
137,9,48223.676731944084,399
138,10,68728.57680606842,399
139,11,39180.048788547516,399
140,12,43646.17087870836,399
141,13,-331105.70295000076,399
142,14,57148.79650384188,399
143,15,52843.806478738785,399
144,16,62700.10591030121,399
145,17,54430.83592295647,399
146,18,56092.136137247086,399
147,19,72684.77666091919,399
148,20,57499.78698030114,399
149,21,-381477.11439555883,399
150,22,54557.4338927269,399
151,23,70004.86878204346,399
152,24,-404139.66869711876,399
153,25,64308.584908008575,399
154,26,-360072.0540266037,399
155,27,62667.38677120209,399
156,28,66217.31237220764,399
157,29,-334530.33920031786,399
158,30,68684.88703918457,399
159,31,-336283.9543007016,399
160,32,-334641.83746623993,399
161,33,63050.35385131836,399
162,34,-324223.9135956764,399
163,35,48715.67829108238,399
164,36,69834.92088317871,399
165,37,67211.80334067345,399
166,38,63938.083797454834,399
167,39,57119.901643037796,399
168,40,60423.91716957092,399
169,41,67604.2108001709,399
170,42,58048.84807562828,399
171,43,69565.490732193,399
172,44,59038.2902340889,399
173,45,-365143.6334500313,399
174,46,46572.65329360962,399
175,47,45024.35236513615,399
176,48,-405426.3670847416,399
177,49,54450.10213088989,399
178,50,63728.90224170685,399
179,51,50410.975403130054,399
180,52,49273.72164064646,399
181,53,-385769.03262746334,399
182,54,-355170.183809042,399
183,55,68233.76885986328,399
184,56,69943.71612167358,399
185,57,65107.33771133423,399
186,58,57492.8433713913,399
187,59,62102.53909397125,399
188,60,51309.28059553355,399
189,61,-392683.19287264347,399
190,62,66762.48111915588,399
191,63,62169.76430416107,399
192,0,52123.33362388611,399
193,1,-357536.31831407547,399
194,2,55282.386937230825,399
195,3,31289.2741304636,399
196,4,73286.7956199646,399
197,5,-404248.42672240734,399
198,6,54501.601093024015,399
199,7,58141.98708856106,399
