episode,env,total_reward,length
0,0,-231632.35523700714,399
1,1,-548031.2020049095,399
2,2,-488146.4490840435,399
3,3,-428733.9398007393,399
4,4,-511781.20739614964,399
5,5,-364249.87543320656,399
6,6,-399933.39546489716,399
7,7,-617069.0639447048,399
8,8,-490560.28742194176,399
9,9,-409934.5500049591,399
10,10,-365241.8846119642,399
11,11,-587053.2642103583,399
12,12,-414439.54212999344,399
13,13,-475495.0877148211,399
14,14,-552059.2246222496,399
15,15,-405899.8280312419,399
16,16,-414440.68656027317,399
17,17,-630511.2982842922,399
18,18,-521430.50495147705,399
19,19,-422854.2070970535,399
20,20,-617339.3575401306,399
21,21,-632224.6609334946,399
22,22,-624156.4304695129,399
23,23,-477313.93527650833,399
24,24,-590574.0315105915,399
25,25,-449572.25028800964,399
26,26,-452931.76876330376,399
27,27,-525575.4616971016,399
28,28,-366796.048779726,399
29,29,-497323.6675441265,399
30,30,-577841.7294006348,399
31,31,-456588.22876143456,399
32,32,-365557.4827210903,399
33,33,-468270.5313799381,399
34,34,-281594.8413183689,399
35,35,-488453.79690241814,399
36,36,-248488.60346984863,399
37,37,-262615.1624979973,399
38,38,-362517.35392951965,399
39,39,-550979.5734980106,399
40,40,-584580.5544857979,399
41,41,-555270.0084568858,399
42,42,-321353.86405980587,399
43,43,-569756.7009352446,399
44,44,-594504.7170333862,399
45,45,-441310.79872244596,399
46,46,-439147.80595618486,399
47,47,-395960.7542808056,399
48,48,-387626.88223576546,399
49,49,-348956.9190196991,399
50,50,-551041.2656662464,399
51,51,-490914.23253440857,399
52,52,-486447.2839188576,399
53,53,-400019.6475562304,399
54,54,-462931.5330289602,399
55,55,-533322.7338067293,399
56,56,-450890.5132713318,399
57,57,-486529.81512355804,399
58,58,-322804.110722065,399
59,59,-419343.39039349556,399
60,60,-320766.3672489822,399
61,61,-552449.1224248409,399
62,62,-425814.41034030914,399
63,63,-404411.391677171,399
64,0,-547995.6186884642,399
65,1,-533963.1566808224,399
66,2,-320682.0369052887,399
67,3,-360986.5647268295,399
68,4,-534987.4948135614,399
69,5,-390878.4318214357,399
70,6,-553282.9282529354,399
71,7,-345454.00632333755,399
72,8,-548235.7991394997,399
73,9,-540456.5591864586,399
74,10,-360618.07802689075,399
75,11,-327940.4272636175,399
76,12,-343355.6624007225,399
77,13,-300603.4995086193,399
78,14,-539503.1668446064,399
79,15,-391728.62570118904,399
80,16,-368829.42983436584,399
81,17,-378209.91479969025,399
82,18,-507298.0964794159,399
83,19,-399092.9839811325,399
84,20,-584018.1415286064,399
