episode,env,total_reward,length
0,0,-224286.69314432144,399
1,1,-39678.46187734604,399
2,2,-279776.0021234751,399
3,3,-30647.123338639736,399
4,4,-77965.73353767395,399
5,5,-219256.0210852623,399
6,6,-126646.94462883472,399
7,7,-292486.4393181801,399
8,8,-56507.509977936745,399
9,9,-93664.62010836601,399
10,10,-228877.380530715,399
11,11,-76381.31359362602,399
12,12,-338763.54708623886,399
13,13,-32072.61530125141,399
14,14,-179556.28960061073,399
15,15,-44754.199796795845,399
16,0,-318204.9476509094,399
17,1,-85390.4697919786,399
18,2,-102374.86520195007,399
19,3,-111582.13944244385,399
20,4,-84817.10821342468,399
21,5,-42186.91212463379,399
22,6,-303559.56222724915,399
23,7,-305645.7849750519,399
24,8,-265621.14950180054,399
25,9,-290860.22016334534,399
26,10,-245648.83305168152,399
27,11,-269354.7792224884,399
28,12,-56666.54209327698,399
29,13,-334706.5704231262,399
30,14,-159276.9212284088,399
31,15,-167020.45233631134,399
32,0,-34627.59467124939,399
33,1,-55221.684551239014,399
34,2,-84556.89298534393,399
35,3,-60157.637868881226,399
36,4,-84861.42210960388,399
37,5,-235446.277633667,399
38,6,-120362.12984657288,399
39,7,-263038.5424861908,399
40,8,-331162.313583374,399
41,9,-94413.22165107727,399
42,10,-83229.01966667175,399
43,11,-86312.16764259338,399
44,12,-271964.9064064026,399
45,13,-37186.598543167114,399
46,14,-291986.2883758545,399
47,15,-283888.8709087372,399
48,0,-275102.49232673645,399
49,1,-77185.48643684387,399
