ee_pos_error_x,ee_pos_error_y,ee_pos_error_z,ee_pos_error_norm,ee_ori_error_rad,ee_ori_error_deg,joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,base_vel_x,base_vel_y,base_ang_vel
-0.013403423,0.20990239,-0.078955784,0.22466902,1.7355698,99.44082,4.2730113e-05,0.00022628155,-0.0001694588,0.034775276,0.07962425,-0.16048658,0.011956074,-0.0069825994,0.13699892,-0.00023049142,0.0031846901,0.0002700088,0.6211481,1.5999793,-3.9999955,0.19514337,-0.112375915,2.1141925,0.25381875,-0.002786878,0.39157665
-0.6544403,0.14930633,-0.07204372,0.67675465,1.719012,98.49213,0.0013001389,0.0005173079,-0.00012240896,-0.053654216,0.86980844,-1.505526,-0.18187854,0.1981765,0.29107815,-0.0106917815,-0.004083367,-0.0021801526,-1.2977223,1.6000038,1.9941422,-1.1826336,2.2374222,3.9889798,0.62180495,0.070636004,0.045346797
-0.9173767,0.4450745,-0.13531056,1.0326016,1.7440143,99.924644,-0.00032805902,0.0002540688,-1.2646749e-05,-0.19531114,1.4309881,-1.5880071,0.039484054,0.10047549,0.11985363,-1.6623584e-05,0.004398182,-0.00051252265,0.59050846,0.6306138,-0.41435754,0.7688105,-0.62629634,-0.40803826,0.66630495,0.035836793,-0.22102374
-1.1506798,0.66379595,-0.10823177,1.3397846,1.569455,89.92315,-0.0005100357,4.0698695e-05,0.00015213029,-0.0783284,1.5599864,-1.5682342,0.021700695,0.08355417,-0.052507363,-0.0033140488,0.003897281,0.0016442756,0.031374574,-0.17587058,-0.33483225,-0.23241834,-0.60123974,0.52246505,0.75600183,-0.09334864,-0.543467
-1.519381,0.759492,-0.084751844,1.7092717,1.5790609,90.47352,6.669584e-05,6.728059e-05,1.5678565e-05,0.01659125,1.5188386,-1.7137759,-0.064665005,-0.011977153,0.052242108,0.002527743,0.0011668477,-0.002285005,0.17310515,-0.019380897,0.0772098,0.42906502,-0.17559388,-0.5441428,0.69925904,-0.1646055,0.12573883
-1.8516356,0.84360725,-0.09904507,2.0476544,1.6261479,93.1714,0.0004160963,0.0001234255,-0.0001647598,-0.016873084,1.5347311,-1.7930572,-0.07032465,-0.041330438,0.11384843,-0.0003505979,0.00068319385,-0.002024686,0.09932342,0.43583173,0.21132323,0.5669165,-0.057570428,-0.058654502,0.78258073,-0.18526381,-0.009526506
-2.1326888,0.97148764,-0.101640284,2.3610334,1.6574284,94.963646,0.00042263124,0.00012945649,-0.00012681299,-0.020973658,1.5548368,-1.7710462,-0.025818609,-0.04063993,0.10120191,-0.00033191458,1.4835212e-05,-0.0035761166,0.1796258,0.33868533,0.64738977,0.75804585,0.20871812,-0.7255454,0.8188371,-0.2211525,-0.005435884
-2.4076557,1.1433284,-0.117432386,2.688468,1.6461456,94.3172,0.0004557207,-7.063729e-05,-7.1500515e-05,-0.06433821,1.6022387,-1.7658057,-0.018125532,-0.02444904,0.08364616,-0.0028476622,-0.00049082167,-0.0020843714,-0.1502129,0.38874477,0.7321774,0.1218435,0.22723123,-0.30044633,0.82768315,-0.28609014,-0.0047628097
-2.6619978,1.3797271,-0.11549162,3.0265691,1.723422,98.7448,0.00043556123,6.716003e-05,-0.000109797955,-0.057087343,1.600066,-1.8284482,0.0014596148,0.01868529,0.123184025,0.00031978334,-8.263416e-05,-0.00337449,0.11426456,0.31301665,0.5399709,0.7836385,0.36000627,-0.5080148,0.80812573,-0.39723837,-0.19372028
-2.8074775,1.6929903,-0.10874329,3.313326,1.7210493,98.60886,-0.00047909288,1.9663836e-05,9.499217e-05,-0.029321253,1.6409292,-1.8898727,-0.025861353,0.059868135,0.095930815,-0.0020203702,-0.0056379074,0.006958563,-0.23094411,-0.63782656,0.089083046,-1.3068042,-0.31695157,0.046665847,0.6456628,-0.45242152,-0.7125962
