episode,env,total_reward,length
0,0,-23244.908346816897,399
1,1,-610744.9660654739,399
2,2,-24029.83268108964,399
3,3,-58057.03381469846,399
4,4,-22573.570809543133,399
5,5,-26682.70804041624,399
6,6,-16402.72298192978,399
7,7,-67235.49803519249,399
8,8,-20618.384052693844,399
9,9,-17440.919598281384,399
10,10,-15768.684735566378,399
11,11,-47815.65357851982,399
12,12,-23140.440920438617,399
13,13,-21970.47509419918,399
14,14,-44782.276894807816,399
15,15,-56275.609008312225,399
16,16,-65508.54375100136,399
17,17,-74844.29039120674,399
18,18,-62875.34411650896,399
19,19,-26947.750064492226,399
20,20,-18712.41151880473,399
21,21,-26058.135271549225,399
22,22,-25794.40836942196,399
23,23,-21198.142114281654,399
24,24,-14814.902095645666,399
25,25,-48692.584499537945,399
26,26,-20572.395203009248,399
27,27,-46259.15035569668,399
28,28,-55635.985273480415,399
29,29,-13671.925080880523,399
30,30,-68060.7844171524,399
31,31,-27773.88336980343,399
32,32,-78416.64791488647,399
33,33,-12702.559265382588,399
34,34,-12552.471833080053,399
35,35,-23665.879934728146,399
36,36,-18245.71567478776,399
37,37,-26206.725331366062,399
38,38,-55380.50749248266,399
39,39,-16337.513063594699,399
40,40,-25466.370388537645,399
41,41,-16041.822099968791,399
42,42,-98053.07929994911,399
43,43,-22976.684420347214,399
44,44,-63360.936140060425,399
45,45,-102125.04353624582,399
46,46,-14202.293774150312,399
47,47,-23261.553679209203,399
48,48,-13114.811905287206,399
49,49,-56181.37755846977,399
50,50,-60482.060559272766,399
51,51,-15950.703046113253,399
52,52,-79232.58397990465,399
53,53,-14486.088725455105,399
54,54,-24887.31977123767,399
55,55,-14890.41880042851,399
56,56,-72097.19547760487,399
57,57,-34291.99239271879,399
58,58,-20267.079877614975,399
59,59,-125850.84456157684,399
60,60,-51810.13632929325,399
61,61,-12170.259333610535,399
62,62,-34291.99239271879,399
63,63,-93035.78754711151,399
64,0,-22844.447560846806,399
65,1,-61063.93226003647,399
66,2,-47884.94263267517,399
67,3,-22618.552650533617,399
68,4,-12948.850360609591,399
69,5,-26661.806696653366,399
70,6,-72122.19137573242,399
71,7,-14468.177059665322,399
72,8,-43755.37609386444,399
73,9,-16021.392506539822,399
74,10,-38043.4198718667,399
75,11,-31535.435971558094,399
76,12,-46755.906688690186,399
77,13,-17682.203173212707,399
78,14,-17464.200066339225,399
79,15,-32628.4536819458,399
80,16,-51828.10329246521,399
81,17,-13965.460870839655,399
82,18,-24286.145187593997,399
83,19,-35269.02662205696,399
84,20,-19966.995047450066,399
85,21,-13676.808764636517,399
86,22,-24553.717980742455,399
87,23,-13519.202980354428,399
88,24,-49960.335889816284,399
89,25,-41883.203221321106,399
90,26,-52744.963722229004,399
91,27,-25772.74051657319,399
92,28,-33618.49765774608,399
93,29,-19285.94398250431,399
94,30,-76528.16537952423,399
95,31,-13557.92325270176,399
96,32,-107541.8496799469,399
97,33,-26822.453333377838,399
98,34,-49316.399600982666,399
99,35,-36844.20334905386,399
