Index,Scene,Trajectory Name,File Path,Num Waypoints,X Start,X End,X Change,X Range,Y Start,Y End,Y Change,Y Range,Z Start,Z End,Z Change,Z Range,Euclidean Distance,Path Length,Requires Chassis,Chassis Movement Score
0,unknown,arc_left_push_000,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_000.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.9200,1.0000,1.0016,0.8600,1.0165,0.1565,0.1565,3.1661,3.3849,True,3.1623
1,unknown,arc_left_push_017,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_017.json,120,1.0500,4.0500,3.0000,3.0508,0.0800,-0.9200,1.0000,1.0071,0.8600,0.8641,0.0041,0.0415,3.1623,3.3938,True,3.1623
2,unknown,arc_left_push_033,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_033.json,120,1.0500,4.0500,3.0000,3.1412,0.0800,-0.9200,1.0000,1.0000,0.8600,1.0742,0.2142,0.2249,3.1695,3.5937,True,3.1623
3,unknown,arc_left_push_059,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_059.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.9200,1.0000,1.0000,0.8600,0.7348,0.1252,0.1423,3.1648,3.3505,True,3.1623
4,unknown,orbit_left_030,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_030.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.9200,1.0000,1.3616,0.8600,0.9892,0.1292,0.2385,3.1649,4.0594,True,3.1623
5,unknown,arc_left_push_027,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_027.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.9192,0.9992,1.0000,0.8600,0.8904,0.0304,0.0813,3.1622,3.4881,True,3.1620
6,unknown,arc_left_push_013,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_013.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.9157,0.9957,1.0000,0.8600,0.6995,0.1605,0.1605,3.1650,3.5061,True,3.1609
7,unknown,arc_left_push_052,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_052.json,120,1.0500,4.0500,3.0000,3.0508,0.0800,-0.9155,0.9955,1.0000,0.8600,0.8677,0.0077,0.1380,3.1609,3.6774,True,3.1608
8,unknown,arc_left_push_019,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_019.json,120,1.0500,4.0500,3.0000,3.3758,0.0800,-0.9101,0.9901,1.0000,0.8600,0.7760,0.0840,0.0840,3.1603,4.3705,True,3.1592
9,unknown,orbit_left_007,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_007.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.9100,0.9900,1.9548,0.8600,0.6784,0.1816,0.2757,3.1643,5.4283,True,3.1591
10,unknown,orbit_right_043,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_043.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,1.0694,0.9894,1.6425,0.8600,0.7541,0.1059,0.2078,3.1607,4.6572,True,3.1589
11,unknown,arc_left_push_040,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_040.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.9054,0.9854,1.0000,0.8600,0.7721,0.0879,0.0879,3.1589,3.4190,True,3.1577
12,unknown,arc_left_push_026,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_026.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.9039,0.9839,1.0000,0.8600,0.8879,0.0279,0.1041,3.1574,3.4050,True,3.1572
13,unknown,arc_left_push_032,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_032.json,120,1.0500,4.0500,3.0000,3.0904,0.0800,-0.8980,0.9780,1.0009,0.8600,0.6629,0.1971,0.1977,3.1615,3.4546,True,3.1554
14,unknown,arc_left_push_077,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_077.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.8944,0.9744,0.9906,0.8600,0.7038,0.1562,0.1757,3.1581,3.6455,True,3.1543
15,unknown,orbit_right_019,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_019.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,1.0443,0.9643,1.3306,0.8600,0.9557,0.0957,0.1875,3.1526,3.8602,True,3.1512
16,unknown,orbit_left_069,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_069.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.8836,0.9636,1.2034,0.8600,0.6851,0.1749,0.3116,3.1558,3.7242,True,3.1510
17,unknown,arc_left_push_080,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_080.json,120,1.0500,4.0500,3.0000,3.2768,0.0800,-0.8831,0.9631,1.0035,0.8600,0.7709,0.0891,0.0891,3.1521,4.0063,True,3.1508
18,unknown,orbit_right_047,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_047.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,1.0412,0.9612,1.0000,0.8600,0.8800,0.0200,0.2138,3.1503,3.5676,True,3.1502
19,unknown,orbit_left_092,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_092.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.8793,0.9593,0.9593,0.8600,0.9480,0.0880,0.1585,3.1509,3.4357,True,3.1496
20,unknown,orbit_left_019,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_019.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.8741,0.9541,1.3616,0.8600,0.9155,0.0555,0.1414,3.1485,3.8551,True,3.1481
21,unknown,arc_left_push_005,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_005.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.8682,0.9482,0.9482,0.8600,0.9474,0.0874,0.0875,3.1475,3.3351,True,3.1463
